phrase,count,per_million
in this paper,23632,711.53
state-of-the-art,10122,304.76
in this work,9253,278.59
on the other hand,4771,143.65
not only,3878,116.76
but also,3617,108.9
in other words,1992,59.98
experimental results show,1878,56.54
in recent years,1784,53.71
a variety of,1758,52.93
to the best of our knowledge,1503,45.25
a wide range of,1171,35.26
it should be noted,829,24.96
due to the fact that,819,24.66
the rest of this paper,702,21.14
it is worth noting,697,20.99
experimental results demonstrate,650,19.57
remainder of this paper,499,15.02
plays an important role,422,12.71
more and more,404,12.16
it is important to note,326,9.82
a plethora of,95,2.86
plays a crucial role,89,2.68
myriad,56,1.69
plays a vital role,43,1.29
sheds light on,27,0.81
paving the way,24,0.72
in the realm of,19,0.57
has garnered,13,0.39
rapidly evolving,11,0.33
ever-evolving,1,0.03
