ngram,count,per_million
of the,311855,9389.5
in the,164249,4945.3
to the,115619,3481.1
and the,99122,2984.4
can be,86946,2617.8
on the,85438,2572.4
for the,79996,2408.6
is the,73839,2223.2
that the,65688,1977.8
in this,60242,1813.8
with the,59281,1784.9
from the,56675,1706.4
the proposed,56525,1701.9
number of,56275,1694.4
by the,46048,1386.4
as the,45659,1374.7
based on,42758,1287.4
it is,37291,1122.8
the same,35758,1076.6
to be,34713,1045.2
this paper,34670,1043.9
the number,31051,934.9
which is,28689,863.8
using the,27388,824.6
for each,25386,764.3
such as,25326,762.5
in fig,25277,761.1
shown in,25079,755.1
at the,25019,753.3
the performance,24693,743.5
we use,23080,694.9
the first,22509,677.7
performance of,22490,677.1
due to,21687,653.0
the following,21650,651.9
set of,21529,648.2
between the,21467,646.3
used to,21103,635.4
we can,20061,604.0
where is,19911,599.5
the model,19727,594.0
we propose,19663,592.0
the training,19610,590.4
where the,19247,579.5
proposed method,18708,563.3
is to,18510,557.3
and is,18396,553.9
this work,17904,539.1
the input,17645,531.3
has been,17381,523.3
paper we,17189,517.5
in section,17126,515.6
we have,17061,513.7
is used,16420,494.4
the results,16277,490.1
note that,16203,487.8
all the,15977,481.0
of our,15838,476.9
in order,15805,475.9
order to,15499,466.7
is not,15307,460.9
as follows,15206,457.8
have been,14996,451.5
that is,14543,437.9
in table,14522,437.2
et al,14344,431.9
compared to,14293,430.3
the best,14234,428.6
show that,14109,424.8
used in,14023,422.2
when the,14005,421.7
the target,13910,418.8
and are,13829,416.4
of this,13805,415.6
neural network,13763,414.4
the output,13633,410.5
the original,13597,409.4
this is,13476,405.7
used for,13408,403.7
of each,13297,400.4
the network,13290,400.1
in our,13228,398.3
than the,13071,393.5
are the,13070,393.5
use the,12838,386.5
the data,12777,384.7
the other,12729,383.3
for all,12568,378.4
denotes the,12236,368.4
of and,12219,367.9
index terms,12062,363.2
given by,11914,358.7
terms of,11899,358.3
does not,11829,356.2
according to,11781,354.7
we also,11751,353.8
in terms,11646,350.6
the two,11640,350.5
as shown,11570,348.4
consists of,11174,336.4
training data,11031,332.1
shows the,11028,332.0
as well,10963,330.1
our proposed,10869,327.2
the second,10858,326.9
over the,10580,318.5
is an,10535,317.2
model is,10489,315.8
the corresponding,10479,315.5
our method,10447,314.5
the problem,10340,311.3
fig the,10261,308.9
such that,10242,308.4
defined as,10234,308.1
to obtain,10149,305.6
there are,10032,302.0
section we,10026,301.9
will be,10025,301.8
it can,10022,301.7
results in,9975,300.3
the signal,9933,299.1
we consider,9919,298.6
in addition,9785,294.6
is given,9745,293.4
if the,9596,288.9
and then,9507,286.2
in figure,9488,285.7
since the,9464,284.9
set to,9400,283.0
while the,9315,280.5
which are,9266,279.0
neural networks,9236,278.1
there is,9157,275.7
as in,9151,275.5
use of,9145,275.3
are used,9138,275.1
by using,9115,274.4
size of,9078,273.3
experimental results,9067,273.0
applied to,9011,271.3
well as,8976,270.3
in which,8940,269.2
the optimal,8854,266.6
for example,8851,266.5
be used,8731,262.9
improve the,8722,262.6
this section,8714,262.4
the average,8559,257.7
the most,8522,256.6
is defined,8491,255.7
into the,8484,255.4
in each,8482,255.4
work we,8406,253.1
the noise,8395,252.8
is also,8389,252.6
similar to,8389,252.6
then the,8381,252.3
speech recognition,8327,250.7
obtained by,8320,250.5
is that,8220,247.5
of an,8179,246.3
the speech,8158,245.6
method is,8146,245.3
that are,8140,245.1
of all,8138,245.0
and we,8102,243.9
do not,8045,242.2
of these,8027,241.7
model the,7985,240.4
the set,7917,238.4
results of,7913,238.2
the case,7860,236.7
the baseline,7853,236.4
value of,7835,235.9
respect to,7761,233.7
with respect,7729,232.7
one of,7685,231.4
the final,7653,230.4
able to,7648,230.3
to improve,7637,229.9
as an,7614,229.2
results are,7613,229.2
to estimate,7612,229.2
the system,7611,229.2
corresponding to,7607,229.0
denote the,7574,228.0
the feature,7572,228.0
and for,7555,227.5
signal processing,7541,227.0
is shown,7498,225.8
the test,7437,223.9
which can,7420,223.4
in and,7385,222.4
the source,7334,220.8
evaluate the,7311,220.1
instead of,7273,219.0
proposed in,7272,218.9
described in,7201,216.8
are not,7198,216.7
function of,7174,216.0
training and,7161,215.6
both the,7147,215.2
be the,7080,213.2
to learn,7080,213.2
however the,7076,213.0
consider the,7066,212.7
and in,7023,211.5
to generate,7018,211.3
assume that,7015,211.2
used as,7010,211.1
we used,6976,210.0
in an,6923,208.4
compared with,6911,208.1
loss function,6899,207.7
at each,6851,206.3
we first,6822,205.4
test set,6798,204.7
estimate the,6781,204.2
to train,6696,201.6
that our,6679,201.1
the time,6674,200.9
the algorithm,6631,199.6
of different,6615,199.2
the mean,6608,199.0
amount of,6601,198.7
we will,6571,197.8
represents the,6561,197.5
values of,6545,197.1
should be,6529,196.6
the total,6514,196.1
may be,6492,195.5
deep learning,6487,195.3
with an,6480,195.1
case of,6479,195.1
reduce the,6478,195.0
of speech,6470,194.8
for training,6463,194.6
training set,6447,194.1
the image,6439,193.9
the previous,6399,192.7
and respectively,6388,192.3
we assume,6381,192.1
the last,6380,192.1
ground truth,6334,190.7
for this,6324,190.4
and its,6304,189.8
trained on,6284,189.2
algorithm is,6280,189.1
we show,6269,188.8
the main,6262,188.5
the above,6232,187.6
output of,6227,187.5
that we,6226,187.5
model and,6216,187.2
in particular,6215,187.1
our model,6168,185.7
problem of,6163,185.6
from to,6161,185.5
to solve,6146,185.0
are shown,6141,184.9
the current,6128,184.5
distribution of,6105,183.8
that of,6084,183.2
with different,6064,182.6
rate of,6036,181.7
under the,6015,181.1
of is,5998,180.6
the use,5988,180.3
the parameters,5982,180.1
so that,5974,179.9
focus on,5938,178.8
effectiveness of,5927,178.5
each of,5919,178.2
of two,5915,178.1
to and,5898,177.6
the effectiveness,5889,177.3
data and,5888,177.3
where and,5850,176.1
presented in,5839,175.8
to use,5817,175.1
leads to,5814,175.1
that can,5812,175.0
the maximum,5802,174.7
to achieve,5780,174.0
accuracy of,5777,173.9
followed by,5777,173.9
the matrix,5748,173.1
the estimated,5748,173.1
the graph,5742,172.9
to evaluate,5736,172.7
obtain the,5734,172.6
covariance matrix,5717,172.1
is set,5695,171.5
learning rate,5672,170.8
the objective,5666,170.6
to reduce,5652,170.2
is trained,5641,169.8
we present,5617,169.1
for both,5588,168.2
need to,5572,167.8
the channel,5571,167.7
they are,5563,167.5
of data,5558,167.3
probability of,5556,167.3
which the,5512,166.0
shows that,5485,165.1
respectively the,5449,164.1
optimization problem,5446,164.0
model to,5442,163.9
then we,5415,163.0
part of,5412,162.9
only the,5353,161.2
to this,5353,161.2
to find,5309,159.8
is based,5300,159.6
be seen,5299,159.5
the acoustic,5294,159.4
the standard,5277,158.9
is then,5254,158.2
range of,5250,158.1
is obtained,5249,158.0
supported by,5240,157.8
model for,5237,157.7
the probability,5237,157.7
proposed algorithm,5231,157.5
corresponds to,5219,157.1
the true,5213,157.0
problem is,5192,156.3
up to,5184,156.1
performance in,5177,155.9
signal is,5166,155.5
the speaker,5164,155.5
the next,5147,155.0
the frequency,5121,154.2
paper is,5096,153.4
results on,5093,153.3
during the,5076,152.8
the encoder,5062,152.4
the overall,5050,152.0
the resulting,5045,151.9
estimation of,5044,151.9
method for,5034,151.6
of training,5016,151.0
speech and,5009,150.8
sequence of,5009,150.8
been proposed,5008,150.8
approach is,5006,150.7
our experiments,5005,150.7
the loss,5000,150.5
fig shows,4995,150.4
effect of,4983,150.0
to extract,4976,149.8
types of,4964,149.5
model with,4964,149.5
our approach,4960,149.3
we compare,4956,149.2
is more,4953,149.1
function is,4948,149.0
objective function,4945,148.9
that it,4923,148.2
better than,4900,147.5
could be,4898,147.5
speech enhancement,4892,147.3
data is,4887,147.1
compute the,4881,147.0
for different,4860,146.3
the spatial,4855,146.2
is applied,4845,145.9
model in,4828,145.4
other hand,4821,145.2
given the,4819,145.1
in both,4809,144.8
show the,4782,144.0
combination of,4769,143.6
deep neural,4763,143.4
results for,4752,143.1
this problem,4738,142.7
within the,4729,142.4
generated by,4724,142.2
method to,4723,142.2
proposed approach,4723,142.2
and it,4715,142.0
with and,4699,141.5
the method,4685,141.1
through the,4685,141.1
the audio,4657,140.2
structure of,4653,140.1
and to,4650,140.0
quality of,4645,139.9
the accuracy,4642,139.8
see that,4625,139.3
to perform,4624,139.2
results show,4611,138.8
and can,4600,138.5
trained with,4600,138.5
in is,4586,138.1
matrix is,4572,137.7
set the,4554,137.1
features are,4541,136.7
error rate,4539,136.7
related to,4532,136.5
proposed to,4518,136.0
associated with,4508,135.7
used the,4489,135.2
matrix of,4488,135.1
shown that,4487,135.1
the decoder,4471,134.6
feature extraction,4468,134.5
features and,4459,134.3
representation of,4453,134.1
at time,4422,133.1
was used,4417,133.0
represent the,4415,132.9
training the,4408,132.7
table the,4404,132.6
we set,4402,132.5
close to,4399,132.4
approach to,4398,132.4
to make,4395,132.3
we introduce,4394,132.3
