ngram,count,per_million
in this paper we,16307,491.0
the performance of the,6664,200.6
in this work we,5928,178.5
in this section we,5579,168.0
as shown in fig,5002,150.6
on the other hand,4773,143.7
this paper we propose,4692,141.3
is the number of,4222,127.1
of the proposed method,3468,104.4
with respect to the,3366,101.3
performance of the proposed,3006,90.5
the output of the,2900,87.3
in the case of,2711,81.6
as well as the,2676,80.6
can be used to,2635,79.3
is shown in fig,2561,77.1
the total number of,2480,74.7
is organized as follows,2442,73.5
paper is organized as,2422,72.9
the effectiveness of the,2384,71.8
this work was supported,2336,70.3
can be written as,2291,69.0
it can be seen,2278,68.6
shown in fig the,2194,66.1
in terms of the,2194,66.1
the size of the,2166,65.2
in the context of,2110,63.5
we can see that,2100,63.2
is based on the,2008,60.5
show that the proposed,1999,60.2
can be expressed as,1991,59.9
conclusion in this paper,1982,59.7
that the proposed method,1940,58.4
are shown in table,1884,56.7
can be found in,1870,56.3
we assume that the,1856,55.9
the rest of the,1824,54.9
the proposed method is,1804,54.3
of this paper is,1774,53.4
and the number of,1756,52.9
in the presence of,1732,52.1
at the same time,1732,52.1
results show that the,1730,52.1
can be seen that,1702,51.2
as shown in table,1690,50.9
as shown in figure,1652,49.7
results are shown in,1641,49.4
are shown in fig,1636,49.3
to the best of,1629,49.0
it is possible to,1600,48.2
evaluate the performance of,1586,47.8
work was supported by,1569,47.2
automatic speech recognition asr,1556,46.8
effectiveness of the proposed,1548,46.6
of the number of,1528,46.0
best of our knowledge,1526,45.9
the best of our,1525,45.9
science foundation of china,1523,45.9
where is the number,1518,45.7
supported in part by,1502,45.2
natural science foundation of,1479,44.5
experimental results show that,1420,42.8
the quality of the,1409,42.4
in part by the,1374,41.4
is assumed to be,1369,41.2
of the proposed algorithm,1357,40.9
the parameters of the,1356,40.8
the performance of our,1334,40.2
the fact that the,1331,40.1
the effectiveness of our,1322,39.8
as the number of,1315,39.6
as function of the,1309,39.4
to the number of,1294,39.0
in this study we,1291,38.9
is one of the,1283,38.6
was supported by the,1275,38.4
db db db db,1270,38.2
the paper is organized,1248,37.6
national natural science foundation,1240,37.3
is defined as the,1237,37.2
the length of the,1198,36.1
the accuracy of the,1192,35.9
can be obtained by,1185,35.7
of the paper is,1175,35.4
in the form of,1173,35.3
for each of the,1168,35.2
was supported in part,1167,35.1
one of the most,1165,35.1
in this case the,1163,35.0
to this end we,1161,35.0
in addition to the,1149,34.6
the results of the,1147,34.5
this paper is organized,1147,34.5
organized as follows section,1146,34.5
where and are the,1143,34.4
improve the performance of,1138,34.3
the other hand the,1136,34.2
in the next section,1133,34.1
this work we propose,1115,33.6
is the set of,1106,33.3
in this paper the,1097,33.0
the goal is to,1095,33.0
to the fact that,1090,32.8
can be formulated as,1089,32.8
state of the art,1080,32.5
we show that the,1067,32.1
our goal is to,1064,32.0
is used as the,1057,31.8
as can be seen,1055,31.8
we focus on the,1055,31.8
to evaluate the performance,1039,31.3
abstract in this paper,1035,31.2
can see that the,1024,30.8
is the same as,1001,30.1
the difference between the,993,29.9
in the training set,992,29.9
in the following we,990,29.8
it can be observed,985,29.7
is shown in figure,978,29.4
rest of the paper,975,29.4
as shown in the,963,29.0
the dimension of the,958,28.8
it is important to,957,28.8
when the number of,956,28.8
if and only if,956,28.8
convolutional neural network cnn,953,28.7
can be applied to,950,28.6
the distribution of the,945,28.5
the structure of the,940,28.3
of the proposed approach,938,28.2
the number of parameters,930,28.0
this paper we present,930,28.0
work was supported in,922,27.8
without loss of generality,918,27.6
deep neural network dnn,902,27.2
can be seen as,902,27.2
we would like to,901,27.1
the number of samples,901,27.1
demonstrate the effectiveness of,900,27.1
as illustrated in fig,896,27.0
paper we propose novel,892,26.9
we observe that the,889,26.8
as follows in section,888,26.7
the results show that,888,26.7
can be viewed as,885,26.6
conclusions in this paper,882,26.6
have been proposed to,879,26.5
shown in table the,878,26.4
it has been shown,876,26.4
is due to the,875,26.3
are assumed to be,872,26.3
the national natural science,868,26.1
to improve the performance,868,26.1
be seen that the,867,26.1
this paper we have,863,26.0
supported by the national,862,26.0
compare the performance of,862,26.0
in the frequency domain,858,25.8
can be seen in,850,25.6
can be used for,841,25.3
the distance between the,840,25.3
due to the fact,837,25.2
the effect of the,834,25.1
the estimation of the,834,25.1
this paper we proposed,831,25.0
it should be noted,830,25.0
is illustrated in fig,830,25.0
the set of all,821,24.7
as described in section,820,24.7
can be observed that,816,24.6
