heading,count
INTRODUCTION,10216
CONCLUSION,5314
EXPERIMENTS,2800
CONCLUSIONS,2457
EXPERIMENTAL RESULTS,1068
RELATED WORK,924
RESULTS,832
PROPOSED METHOD,819
PROBLEM FORMULATION,524
ACKNOWLEDGEMENTS,504
SIMULATION RESULTS,498
METHODOLOGY,490
EXPERIMENTAL SETUP,456
METHOD,441
EXPERIMENTS AND RESULTS,402
NUMERICAL RESULTS,399
SYSTEM MODEL,364
EXPERIMENT,355
ACKNOWLEDGEMENT,327
BACKGROUND,319
METHODS,314
RESULTS AND DISCUSSION,296
CONCLUSION AND FUTURE WORK,281
EVALUATION,257
DISCUSSION,246
NUMERICAL EXPERIMENTS,227
SIMULATIONS,217
PRELIMINARIES,217
ACKNOWLEDGMENTS,209
RELATED WORKS,203
PROPOSED APPROACH,201
CONCLUSIONS AND FUTURE WORK,197
ACKNOWLEDGMENT,181
EXPERIMENTAL EVALUATION,163
RELATION TO PRIOR WORK,141
PROBLEM STATEMENT,136
CONCLUDING REMARKS,127
THE PROPOSED METHOD,123
SIGNAL MODEL,121
APPROACH,105
PERFORMANCE EVALUATION,89
PROPOSED ALGORITHM,83
MODEL,76
SYSTEM DESCRIPTION,75
DATASET,73
NUMERICAL EXAMPLES,67
DATA,65
MAIN RESULTS,64
RESULTS AND ANALYSIS,61
NUMERICAL SIMULATIONS,60
PROPOSED METHODS,60
PROPOSED MODEL,59
SUMMARY,58
PERFORMANCE ANALYSIS,55
SIMULATION,55
DISCUSSION AND CONCLUSION,55
RESULTS AND DISCUSSIONS,52
SYSTEM OVERVIEW,51
ALGORITHM,50
ANALYSIS,50
INTRODUCTION AND RELATED WORK,48
EXPERIMENTS AND ANALYSIS,48
CONVERGENCE ANALYSIS,47
NUMERICAL TESTS,45
PROPOSED FRAMEWORK,44
EXPERIMENT RESULTS,43
MODEL ARCHITECTURE,43
SYSTEM MODEL AND PROBLEM FORMULATION,41
EXPERIMENTAL SETUP AND RESULTS,39
DATASETS,39
EXPERIMENTAL VALIDATION,38
EXPERIMENTS AND DISCUSSION,37
PROBLEM DESCRIPTION,36
THE PROPOSED APPROACH,36
