structure,count
INTRODUCTION > PROPOSED METHOD > EXPERIMENTS > CONCLUSION,103
INTRODUCTION > METHOD > EXPERIMENTS > CONCLUSION,60
INTRODUCTION > METHODOLOGY > EXPERIMENTS > CONCLUSION,59
INTRODUCTION > PROPOSED METHOD > EXPERIMENTAL RESULTS > CONCLUSION,42
INTRODUCTION > METHODS > EXPERIMENTS > CONCLUSION,36
INTRODUCTION > PROPOSED METHOD > EXPERIMENTS > CONCLUSIONS,28
INTRODUCTION > PROPOSED APPROACH > EXPERIMENTS > CONCLUSION,24
INTRODUCTION > METHOD > EXPERIMENTS > CONCLUSIONS,23
INTRODUCTION > METHOD > EXPERIMENT > CONCLUSION,22
INTRODUCTION > RELATED WORK > METHOD > EXPERIMENTS > CONCLUSION,20
INTRODUCTION > RELATED WORK > PROPOSED METHOD > EXPERIMENTS > CONCLUSION,19
INTRODUCTION > THE PROPOSED METHOD > EXPERIMENTS > CONCLUSION,18
INTRODUCTION > METHODOLOGY > EXPERIMENTS > CONCLUSIONS,17
INTRODUCTION > APPROACH > EXPERIMENTS > CONCLUSION,17
INTRODUCTION > RELATED WORK > METHODOLOGY > EXPERIMENTS > CONCLUSION,17
INTRODUCTION > PROPOSED METHOD > EXPERIMENTS AND RESULTS > CONCLUSION,16
INTRODUCTION > METHODOLOGY > EXPERIMENTAL RESULTS > CONCLUSION,15
INTRODUCTION > PROPOSED METHOD > EXPERIMENT > CONCLUSION,15
INTRODUCTION > METHODS > EXPERIMENTS > CONCLUSIONS,14
INTRODUCTION > METHODOLOGY > EXPERIMENT > CONCLUSION,13
INTRODUCTION > METHODS > RESULTS > CONCLUSION,12
INTRODUCTION > PROPOSED METHOD > EXPERIMENTAL RESULTS > CONCLUSIONS,11
INTRODUCTION > RELATED WORKS > PROPOSED METHOD > EXPERIMENTS > CONCLUSION,11
INTRODUCTION > METHODOLOGY > EXPERIMENTS > CONCLUSION > ACKNOWLEDGEMENTS,11
INTRODUCTION > PROPOSED METHOD > EXPERIMENTS > CONCLUSION > ACKNOWLEDGEMENT,10
INTRODUCTION > METHOD > EXPERIMENTS AND RESULTS > CONCLUSION,10
INTRODUCTION > PROPOSED METHOD > EVALUATION > CONCLUSION,9
INTRODUCTION > PROPOSED METHODS > EXPERIMENTS > CONCLUSION,9
INTRODUCTION > RELATED WORKS > METHODOLOGY > EXPERIMENTS > CONCLUSION,9
INTRODUCTION > METHODS > RESULTS > CONCLUSIONS,8
INTRODUCTION > METHOD > EXPERIMENTAL RESULTS > CONCLUSION,8
INTRODUCTION > METHODOLOGY > EXPERIMENTS AND RESULTS > CONCLUSION,7
INTRODUCTION > MODEL > EXPERIMENTS > CONCLUSION,7
INTRODUCTION > PROPOSED METHOD > EXPERIMENTS > CONCLUSION > ACKNOWLEDGEMENTS,7
INTRODUCTION > METHOD > EXPERIMENTS > CONCLUSION > ACKNOWLEDGEMENT,7
INTRODUCTION > RELATED WORK > METHOD > EXPERIMENT > CONCLUSION,7
INTRODUCTION > RELATED WORK > APPROACH > EXPERIMENTS > CONCLUSION,7
INTRODUCTION > METHODS > RESULTS > DISCUSSION > CONCLUSION,6
INTRODUCTION > THE PROPOSED METHOD > EXPERIMENTAL RESULTS > CONCLUSION,6
INTRODUCTION > METHOD > EXPERIMENTAL SETUP > RESULTS > CONCLUSION,6
INTRODUCTION > PRELIMINARIES > PROPOSED METHOD > EXPERIMENTS > CONCLUSION,6
INTRODUCTION > METHODOLOGY > EXPERIMENTS AND RESULTS > CONCLUSIONS,6
INTRODUCTION > RELATED WORK > METHODOLOGY > EXPERIMENT > CONCLUSION,6
