ngram,count,per_million
the number of,30418,915.8
in this paper,23663,712.5
this paper we,16696,502.7
the performance of,15889,478.4
based on the,15689,472.4
in order to,15351,462.2
of the proposed,14538,437.7
the proposed method,13641,410.7
where is the,12362,372.2
in terms of,11588,348.9
due to the,10969,330.3
as shown in,10837,326.3
shown in fig,10588,318.8
performance of the,9317,280.5
in this work,9271,279.1
as well as,8875,267.2
we use the,7732,232.8
with respect to,7667,230.8
it can be,7580,228.2
in this section,7158,215.5
that the proposed,6801,204.8
is used to,6703,201.8
and is the,6700,201.7
is given by,6630,199.6
is defined as,6106,183.8
this work we,6105,183.8
one of the,5942,178.9
compared to the,5916,178.1
the use of,5895,177.5
the set of,5862,176.5
this section we,5686,171.2
the effectiveness of,5514,166.0
show that the,5347,161.0
can be used,5285,159.1
according to the,5282,159.0
is shown in,5119,154.1
on the other,5072,152.7
is based on,5060,152.3
are shown in,5044,151.9
note that the,5011,150.9
the output of,5008,150.8
can be seen,4909,147.8
the other hand,4798,144.5
paper we propose,4719,142.1
in the following,4676,140.8
shown in table,4655,140.2
the problem of,4570,137.6
in fig the,4543,136.8
to improve the,4504,135.6
which can be,4431,133.4
to estimate the,4358,131.2
the proposed algorithm,4346,130.9
is the number,4255,128.1
the case of,4228,127.3
the fact that,4051,122.0
we assume that,4028,121.3
to evaluate the,3970,119.5
results show that,3875,116.7
to reduce the,3872,116.6
is set to,3848,115.9
the results of,3788,114.1
the size of,3778,113.8
the effect of,3744,112.7
shown in figure,3708,111.6
used in the,3705,111.6
the training data,3653,110.0
be used to,3647,109.8
in the training,3564,107.3
output of the,3558,107.1
vol no pp,3538,106.5
the training set,3529,106.3
of this paper,3527,106.2
in this case,3508,105.6
corresponding to the,3483,104.9
the proposed approach,3468,104.4
each of the,3431,103.3
this work was,3427,103.2
respect to the,3416,102.9
have been proposed,3392,102.1
we show that,3345,100.7
in the case,3335,100.4
to obtain the,3334,100.4
we propose to,3327,100.2
the presence of,3276,98.6
size of the,3228,97.2
in section we,3226,97.1
can be obtained,3220,96.9
similar to the,3199,96.3
we consider the,3197,96.3
in the first,3174,95.6
fig shows the,3172,95.5
function of the,3154,95.0
where denotes the,3139,94.5
this paper is,3135,94.4
are used to,3133,94.3
of the input,3108,93.6
assume that the,3099,93.3
of the model,3072,92.5
referred to as,3041,91.6
such as the,3024,91.0
the quality of,3007,90.5
and can be,2981,89.8
and are the,2965,89.3
that can be,2947,88.7
can be found,2941,88.5
we can see,2938,88.5
is able to,2935,88.4
of the target,2895,87.2
the rest of,2881,86.7
the ground truth,2872,86.5
part of the,2868,86.4
total number of,2866,86.3
as function of,2838,85.4
there is no,2837,85.4
supported by the,2826,85.1
the value of,2759,83.1
of the network,2757,83.0
in addition to,2742,82.6
assumed to be,2739,82.5
most of the,2726,82.1
such that the,2723,82.0
the objective function,2716,81.8
by using the,2707,81.5
well as the,2692,81.1
can be written,2686,80.9
is used for,2671,80.4
our proposed method,2668,80.3
of the data,2666,80.3
in which the,2665,80.2
compared with the,2657,80.0
is that the,2644,79.6
the accuracy of,2620,78.9
of our proposed,2620,78.9
in this study,2619,78.9
the probability of,2606,78.5
in fig we,2597,78.2
with the same,2584,77.8
in the same,2584,77.8
of the signal,2579,77.6
conclusion in this,2578,77.6
the test set,2577,77.6
in our experiments,2570,77.4
be written as,2554,76.9
in the literature,2550,76.8
we focus on,2539,76.4
work was supported,2531,76.2
the proposed model,2528,76.1
table shows the,2528,76.1
can be expressed,2512,75.6
the total number,2511,75.6
effectiveness of the,2510,75.6
goal is to,2509,75.5
is organized as,2504,75.4
which is the,2490,75.0
is applied to,2483,74.8
that of the,2477,74.6
the same as,2477,74.6
organized as follows,2469,74.3
the results are,2467,74.3
to solve the,2455,73.9
the distribution of,2450,73.8
paper is organized,2441,73.5
of the two,2436,73.3
automatic speech recognition,2431,73.2
where and are,2426,73.0
we propose novel,2412,72.6
described in section,2404,72.4
the amount of,2387,71.9
can also be,2380,71.7
depends on the,2378,71.6
at the same,2371,71.4
the parameters of,2361,71.1
parameters of the,2360,71.1
the context of,2354,70.9
figure shows the,2352,70.8
corresponds to the,2349,70.7
so that the,2349,70.7
can see that,2346,70.6
used as the,2341,70.5
to train the,2335,70.3
structure of the,2327,70.1
we compare the,2325,70.0
deep neural networks,2320,69.9
applied to the,2317,69.8
of the original,2316,69.7
terms of the,2309,69.5
we observe that,2299,69.2
deep neural network,2285,68.8
in table the,2282,68.7
the loss function,2274,68.5
to minimize the,2266,68.2
distribution of the,2266,68.2
is equivalent to,2256,67.9
is used as,2242,67.5
to find the,2241,67.5
of the same,2235,67.3
value of the,2234,67.3
in the context,2233,67.2
we used the,2214,66.7
large number of,2212,66.6
the sum of,2210,66.5
to compute the,2199,66.2
results of the,2189,65.9
is obtained by,2188,65.9
be expressed as,2187,65.8
as described in,2187,65.8
illustrated in fig,2186,65.8
we do not,2178,65.6
was supported by,2174,65.5
the experimental results,2172,65.4
the impact of,2172,65.4
estimate of the,2165,65.2
related to the,2143,64.5
we propose an,2135,64.3
proposed method is,2132,64.2
focus on the,2125,64.0
of the training,2116,63.7
in part by,2115,63.7
shows that the,2101,63.3
to the best,2093,63.0
in the second,2077,62.5
the length of,2075,62.5
accuracy of the,2074,62.4
it has been,2064,62.1
this work is,2056,61.9
convolutional neural network,2038,61.4
to predict the,2031,61.2
we evaluate the,2030,61.1
quality of the,2025,61.0
estimation of the,2023,60.9
db db db,2022,60.9
in the next,2017,60.7
be found in,2015,60.7
used for the,2010,60.5
in other words,1997,60.1
of our method,1993,60.0
in section the,1977,59.5
for all the,1972,59.4
et al proposed,1970,59.3
the best performance,1962,59.1
to this end,1962,59.1
the difference between,1962,59.1
the distance between,1950,58.7
to learn the,1949,58.7
as in the,1932,58.2
in the proposed,1930,58.1
the model is,1929,58.1
improve the performance,1910,57.5
it is not,1904,57.3
shown in the,1890,56.9
rest of the,1884,56.7
representation of the,1879,56.6
evaluate the performance,1875,56.5
see that the,1874,56.4
the estimation of,1873,56.4
are used for,1865,56.2
and it is,1859,56.0
the same time,1854,55.8
in contrast to,1845,55.6
it is possible,1840,55.4
version of the,1837,55.3
is similar to,1837,55.3
depending on the,1833,55.2
the learning rate,1833,55.2
we define the,1824,54.9
defined as the,1816,54.7
of the first,1809,54.5
show that our,1809,54.5
number of parameters,1803,54.3
results are shown,1800,54.2
is composed of,1800,54.2
state of the,1798,54.1
the paper is,1794,54.0
and the number,1791,53.9
in table we,1786,53.8
in recent years,1783,53.7
we need to,1783,53.7
be seen that,1782,53.7
better than the,1780,53.6
extracted from the,1769,53.3
number of samples,1765,53.1
is assumed to,1764,53.1
that it is,1759,53.0
the structure of,1755,52.8
the dimension of,1754,52.8
the best of,1753,52.8
performance of our,1752,52.8
problem can be,1750,52.7
in the presence,1744,52.5
to be the,1741,52.4
are based on,1736,52.3
can be computed,1734,52.2
of the paper,1733,52.2
difference between the,1732,52.1
number of iterations,1729,52.1
are presented in,1728,52.0
we note that,1727,52.0
use of the,1724,51.9
close to the,1723,51.9
convolutional neural networks,1722,51.8
science foundation of,1719,51.8
to deal with,1716,51.7
obtained from the,1714,51.6
values of the,1707,51.4
of all the,1687,50.8
in figure the,1684,50.7
has been shown,1684,50.7
the task of,1682,50.6
to generate the,1681,50.6
length of the,1675,50.4
and the corresponding,1674,50.4
to model the,1660,50.0
the optimization problem,1656,49.9
of the speech,1656,49.9
the covariance matrix,1655,49.8
given by the,1647,49.6
https github com,1644,49.5
associated with the,1637,49.3
experimental results show,1633,49.2
of the system,1631,49.1
this can be,1628,49.0
between the two,1628,49.0
is possible to,1627,49.0
because of the,1620,48.8
in addition the,1619,48.7
and the proposed,1616,48.7
knowledge of the,1615,48.6
applications such as,1613,48.6
for training and,1612,48.5
is the same,1608,48.4
of the algorithm,1607,48.4
in the previous,1607,48.4
the form of,1604,48.3
the goal of,1600,48.2
natural science foundation,1599,48.1
than that of,1595,48.0
of training data,1593,48.0
to that of,1592,47.9
the importance of,1591,47.9
speech recognition asr,1583,47.7
need to be,1581,47.6
observe that the,1579,47.5
can be applied,1579,47.5
and for the,1571,47.3
of the number,1571,47.3
we set the,1570,47.3
can be observed,1562,47.0
the robustness of,1559,46.9
in addition we,1556,46.8
an example of,1551,46.7
to the same,1548,46.6
learning rate of,1546,46.5
best of our,1538,46.3
input to the,1538,46.3
of our knowledge,1535,46.2
allows us to,1534,46.2
foundation of china,1531,46.1
be applied to,1520,45.8
of the most,1520,45.8
trained on the,1517,45.7
be used for,1516,45.6
the cost function,1513,45.6
by the national,1513,45.6
to make the,1512,45.5
for each of,1511,45.5
supported in part,1511,45.5
to determine the,1510,45.5
this is the,1508,45.4
was set to,1489,44.8
distance between the,1486,44.7
due to its,1485,44.7
from the same,1479,44.5
set to and,1474,44.4
that our method,1474,44.4
needs to be,1473,44.3
matrix of the,1470,44.3
for the first,1466,44.1
shown that the,1465,44.1
is equal to,1465,44.1
we see that,1465,44.1
is used in,1464,44.1
information about the,1463,44.0
shown to be,1461,44.0
are able to,1460,44.0
have the same,1459,43.9
training and testing,1456,43.8
can be easily,1455,43.8
of the source,1452,43.7
the computational complexity,1449,43.6
we refer to,1448,43.6
for example the,1447,43.6
the choice of,1445,43.5
ieee transactions on,1445,43.5
in fig and,1444,43.5
model is trained,1440,43.4
to the original,1437,43.3
the neural network,1434,43.2
as the input,1433,43.1
the relationship between,1426,42.9
we find that,1425,42.9
is one of,1425,42.9
dimension of the,1422,42.8
recurrent neural network,1420,42.8
the received signal,1413,42.5
to capture the,1413,42.5
as illustrated in,1411,42.5
mean square error,1411,42.5
as follows section,1409,42.4
equal to the,1408,42.4
for the proposed,1408,42.4
in particular we,1408,42.4
to measure the,1406,42.3
would like to,1406,42.3
let be the,1400,42.2
results on the,1393,41.9
effectiveness of our,1388,41.8
the range of,1385,41.7
it is also,1384,41.7
properties of the,1382,41.6
is the first,1382,41.6
and in the,1379,41.5
was used to,1379,41.5
part by the,1379,41.5
inspired by the,1378,41.5
that our proposed,1375,41.4
correspond to the,1374,41.4
this study we,1373,41.3
the network is,1370,41.2
generated by the,1370,41.2
can be solved,1369,41.2
all of the,1369,41.2
can be achieved,1367,41.2
be obtained by,1365,41.1
methods have been,1364,41.1
of the matrix,1359,40.9
used in this,1358,40.9
is illustrated in,1354,40.8
word error rate,1354,40.8
fact that the,1351,40.7
complexity of the,1350,40.6
used for training,1349,40.6
as the number,1348,40.6
of this work,1346,40.5
to use the,1346,40.5
the order of,1343,40.4
used to train,1343,40.4
of the image,1342,40.4
some of the,1339,40.3
to address the,1338,40.3
the training and,1338,40.3
is proposed to,1337,40.3
it does not,1336,40.2
latexit sha base,1334,40.2
can be represented,1329,40.0
this is because,1328,40.0
the proposed system,1328,40.0
to address this,1326,39.9
and denote the,1325,39.9
the model to,1324,39.9
in the form,1323,39.8
the output layer,1323,39.8
of the graph,1323,39.8
as can be,1322,39.8
to extract the,1322,39.8
at each time,1322,39.8
may not be,1319,39.7
along with the,1318,39.7
to the number,1317,39.7
and denotes the,1316,39.6
been shown to,1303,39.2
it should be,1300,39.1
information of the,1295,39.0
are used as,1295,39.0
is due to,1294,39.0
in this way,1293,38.9
can be estimated,1289,38.8
that is the,1288,38.8
which consists of,1286,38.7
the next section,1286,38.7
the target speaker,1285,38.7
of the noise,1284,38.7
results for the,1284,38.7
analysis of the,1283,38.6
wide range of,1281,38.6
our method is,1280,38.5
the proposed framework,1279,38.5
the result of,1277,38.4
it is worth,1277,38.4
the end of,1276,38.4
we present the,1270,38.2
there are two,1270,38.2
mean squared error,1266,38.1
the complexity of,1263,38.0
the results in,1261,38.0
abstract in this,1260,37.9
can be formulated,1256,37.8
refers to the,1250,37.6
the influence of,1250,37.6
national natural science,1249,37.6
in the network,1249,37.6
this paper the,1247,37.5
model and the,1244,37.5
sum of the,1238,37.3
this paper proposes,1236,37.2
the design of,1236,37.2
are given in,1232,37.1
the values of,1231,37.1
that there is,1231,37.1
to enhance the,1229,37.0
we found that,1228,37.0
we aim to,1228,37.0
we adopt the,1227,36.9
this end we,1226,36.9
the training process,1224,36.9
and the other,1222,36.8
to calculate the,1219,36.7
the development of,1216,36.6
to maximize the,1212,36.5
the combination of,1211,36.5
be formulated as,1208,36.4
as follows in,1208,36.4
consists of two,1207,36.3
work we propose,1207,36.3
we obtain the,1205,36.3
has been proposed,1205,36.3
the cost of,1203,36.2
as compared to,1203,36.2
was supported in,1203,36.2
small number of,1200,36.1
methods such as,1199,36.1
we introduce the,1198,36.1
mean and variance,1197,36.0
does not require,1197,36.0
the solution of,1196,36.0
we propose new,1195,36.0
the frequency domain,1192,35.9
is denoted by,1192,35.9
this case the,1191,35.9
added to the,1190,35.8
of and the,1187,35.7
instead of the,1183,35.6
the goal is,1183,35.6
stochastic gradient descent,1182,35.6
in can be,1180,35.5
so as to,1179,35.5
conclusions in this,1177,35.4
method based on,1175,35.4
the advantage of,1174,35.3
been proposed to,1173,35.3
in section and,1171,35.3
addition to the,1170,35.2
the variance of,1170,35.2
the computation of,1167,35.1
in the last,1165,35.1
our experiments we,1163,35.0
is the set,1163,35.0
depicted in fig,1160,34.9
have shown that,1159,34.9
to represent the,1159,34.9
be able to,1154,34.7
in particular the,1154,34.7
is given in,1153,34.7
by minimizing the,1152,34.7
results in the,1149,34.6
the architecture of,1148,34.6
we show the,1147,34.5
to increase the,1146,34.5
our goal is,1145,34.5
different from the,1144,34.4
on the test,1140,34.3
white gaussian noise,1139,34.3
other hand the,1138,34.3
in the future,1134,34.1
the assumption that,1132,34.1
to the target,1132,34.1
the input to,1132,34.1
in the original,1129,34.0
an estimate of,1128,34.0
on top of,1128,34.0
long short-term memory,1128,34.0
the input of,1128,34.0
on the same,1127,33.9
are assumed to,1126,33.9
to recover the,1126,33.9
we want to,1126,33.9
in the range,1121,33.8
performance on the,1121,33.8
of our model,1120,33.7
and respectively the,1119,33.7
in figure we,1118,33.7
of the output,1117,33.6
are given by,1117,33.6
it is shown,1115,33.6
better performance than,1114,33.5
to the fact,1112,33.5
by the proposed,1109,33.4
seen that the,1108,33.4
variance of the,1107,33.3
for training the,1105,33.3
is designed to,1105,33.3
presented in section,1105,33.3
encoder and decoder,1103,33.2
effect of the,1101,33.1
the lack of,1101,33.1
that in the,1100,33.1
demonstrate that the,1100,33.1
however it is,1099,33.1
proposed in the,1097,33.0
is difficult to,1097,33.0
is supported by,1096,33.0
model can be,1096,33.0
we denote the,1095,33.0
of the form,1093,32.9
standard deviation of,1091,32.8
be noted that,1090,32.8
into account the,1089,32.8
set to the,1087,32.7
two types of,1087,32.7
be used in,1085,32.7
in the frequency,1084,32.6
observed that the,1084,32.6
the outputs of,1084,32.6
section we present,1083,32.6
that the performance,1082,32.6
of the art,1081,32.5
the optimal solution,1081,32.5
leads to the,1080,32.5
by means of,1080,32.5
the speech signal,1080,32.5
we compute the,1080,32.5
is important to,1079,32.5
we propose the,1078,32.5
is presented in,1077,32.4
recurrent neural networks,1075,32.4
of the feature,1075,32.4
the field of,1073,32.3
advantage of the,1073,32.3
the columns of,1071,32.2
the definition of,1071,32.2
indicates that the,1067,32.1
derived from the,1066,32.1
it is important,1065,32.1
for the case,1064,32.0
subset of the,1063,32.0
features of the,1061,31.9
are set to,1060,31.9
overview of the,1059,31.9
table comparison of,1059,31.9
the process of,1058,31.9
different types of,1057,31.8
comparison of the,1056,31.8
the need for,1056,31.8
the concept of,1055,31.8
the input signal,1055,31.8
in the experiments,1053,31.7
in fig in,1051,31.6
abstract this paper,1051,31.6
the idea of,1051,31.6
the application of,1050,31.6
obtained by the,1047,31.5
the following we,1047,31.5
linear combination of,1047,31.5
to get the,1046,31.5
of can be,1045,31.5
the purpose of,1044,31.4
the results show,1044,31.4
we apply the,1042,31.4
results in this,1042,31.4
is trained to,1041,31.3
we compare our,1041,31.3
in and the,1038,31.3
information in the,1037,31.2
with the proposed,1036,31.2
architecture of the,1036,31.2
features from the,1032,31.1
the case where,1030,31.0
the input and,1030,31.0
can be considered,1030,31.0
nature of the,1029,31.0
the best results,1029,31.0
from the training,1028,31.0
of the corresponding,1027,30.9
neural network cnn,1027,30.9
means that the,1025,30.9
model for the,1025,30.9
at each iteration,1024,30.8
be viewed as,1024,30.8
compare the performance,1023,30.8
to optimize the,1023,30.8
information from the,1019,30.7
