word,count,per_million
data,113794,3426.2
training,85474,2573.5
speech,83772,2522.3
performance,83326,2508.8
set,78774,2371.8
network,67262,2025.2
signal,66626,2006.0
different,65734,1979.2
algorithm,63959,1925.7
features,62754,1889.4
number,62485,1881.3
matrix,59459,1790.2
time,57669,1736.3
problem,55328,1665.8
methods,53857,1621.6
learning,53489,1610.5
noise,52696,1586.6
function,52412,1578.1
information,52013,1566.0
image,51330,1545.5
models,50781,1528.9
feature,50263,1513.3
system,48635,1464.3
input,45839,1380.1
work,42425,1277.4
layer,40870,1230.5
dataset,38420,1156.8
loss,38153,1148.7
vector,37493,1128.9
however,36523,1099.7
while,36193,1089.7
parameters,35780,1077.3
output,35417,1066.4
test,35323,1063.5
speaker,34844,1049.1
error,33882,1020.1
estimation,33586,1011.2
signals,33155,998.2
rate,32473,977.7
images,32271,971.6
size,31855,959.1
target,31644,952.8
detection,31178,938.7
source,31050,934.9
experiments,30492,918.1
audio,29638,892.4
frequency,29576,890.5
trained,29166,878.1
accuracy,29006,873.3
samples,28861,869.0
neural,28730,865.0
following,28571,860.2
classification,28239,850.2
terms,27997,842.9
obtained,27951,841.6
since,27883,839.5
distribution,27667,833.0
order,27509,828.3
graph,26437,796.0
case,26169,787.9
networks,25936,780.9
better,25903,779.9
recognition,25574,770.0
acoustic,25394,764.6
systems,25273,760.9
compared,25226,759.5
layers,25052,754.3
channel,24873,748.9
linear,24682,743.1
task,24536,738.7
values,24385,734.2
corresponding,24345,733.0
value,23626,711.3
propose,23595,710.4
analysis,23591,710.3
domain,23245,699.9
deep,23121,696.1
thus,22870,688.6
figure,22698,683.4
average,22527,678.3
filter,22385,674.0
attention,22218,669.0
due,21960,661.2
mean,21890,659.1
large,21851,657.9
similar,21788,656.0
algorithms,21712,653.7
process,21666,652.3
representation,21530,648.2
estimate,21438,645.5
sequence,21167,637.3
index,21023,633.0
framework,20983,631.8
processing,20951,630.8
new,20826,627.0
log,20728,624.1
random,20637,621.4
space,20478,616.6
probability,20471,616.4
step,20458,616.0
baseline,20442,615.5
further,20426,615.0
evaluation,20281,610.6
well,20274,610.4
ieee,20270,610.3
high,20251,609.7
defined,20199,608.2
consider,20166,607.2
optimization,20031,603.1
without,19887,598.8
therefore,19801,596.2
follows,19774,595.4
frame,19583,589.6
gaussian,19563,589.0
best,19544,588.4
note,19319,581.7
parameter,19183,577.6
structure,19172,577.2
quality,18887,568.7
result,18810,566.3
example,18716,563.5
multiple,18500,557.0
original,18439,555.2
architecture,18416,554.5
single,18413,554.4
applied,18362,552.9
estimated,18353,552.6
point,18206,548.2
power,18099,544.9
state,17856,537.6
sparse,17620,530.5
obtain,17607,530.1
see,17524,527.6
asr,17489,526.6
datasets,17480,526.3
let,17445,525.2
approaches,17367,522.9
solution,17182,517.3
optimal,17169,516.9
vectors,17156,516.5
phase,17102,514.9
local,17060,513.7
class,16996,511.7
encoder,16886,508.4
generated,16820,506.4
spatial,16775,505.1
comparison,16648,501.2
snr,16608,500.0
denotes,16472,495.9
block,16436,494.9
distance,16315,491.2
sampling,16217,488.3
small,16216,488.2
previous,16119,485.3
spectral,16059,483.5
because,16044,483.1
frames,15947,480.1
experimental,15942,480.0
train,15935,479.8
standard,15911,479.1
prediction,15742,474.0
sound,15641,470.9
language,15614,470.1
sample,15576,469.0
embedding,15463,465.6
many,15447,465.1
min,15321,461.3
low,15257,459.4
map,15140,455.8
dnn,15023,452.3
real,14938,449.8
level,14887,448.2
objective,14878,448.0
video,14801,445.6
tasks,14774,444.8
weights,14705,442.7
improve,14668,441.6
length,14600,439.6
convolutional,14588,439.2
total,14552,438.1
cost,14520,437.2
word,14480,436.0
matrices,14262,429.4
design,14217,428.1
study,14139,425.7
lower,13921,419.1
several,13910,418.8
noisy,13902,418.6
score,13863,417.4
finally,13856,417.2
form,13814,415.9
higher,13812,415.9
speakers,13657,411.2
array,13621,410.1
cnn,13551,408.0
considered,13550,408.0
complexity,13536,407.5
context,13410,403.8
introduction,13390,403.2
reconstruction,13389,403.1
part,13387,403.1
research,13363,402.3
gradient,13356,402.1
max,13353,402.0
available,13317,401.0
icassp,13194,397.3
even,13155,396.1
applications,13133,395.4
prior,13129,395.3
hidden,13124,395.1
range,13062,393.3
abstract,13056,393.1
points,13050,392.9
