phrase,count,per_million
in this paper,14334,608.25
in this work,7431,315.33
state-of-the-art,6614,280.66
on the other hand,3231,137.1
not only,2926,124.16
but also,2859,121.32
a variety of,1577,66.92
experimental results show,1534,65.09
in recent years,1183,50.2
in other words,1052,44.64
to the best of our knowledge,972,41.25
a wide range of,754,32.0
it should be noted,478,20.28
due to the fact that,442,18.76
experimental results demonstrate,396,16.8
the rest of this paper,369,15.66
plays an important role,328,13.92
it is worth noting,327,13.88
more and more,284,12.05
remainder of this paper,261,11.08
it is important to note,183,7.77
plays a crucial role,71,3.01
plays a vital role,35,1.49
in the realm of,33,1.4
a plethora of,32,1.36
myriad,24,1.02
sheds light on,20,0.85
paving the way,11,0.47
rapidly evolving,10,0.42
has garnered,9,0.38
ever-evolving,2,0.08
