ngram,count,per_million
of the,196019,8317.9
in the,118112,5012.0
to the,74632,3166.9
on the,64316,2729.2
for the,59921,2542.7
and the,59037,2505.2
from the,43964,1865.6
with the,42306,1795.2
in this,39836,1690.4
can be,38593,1637.7
that the,37915,1608.9
is the,31967,1356.5
number of,31037,1317.0
based on,29226,1240.2
by the,28033,1189.6
as the,28019,1189.0
the proposed,27320,1159.3
the same,25870,1097.8
it is,22868,970.4
this paper,22518,955.5
to be,22290,945.9
speech recognition,21041,892.9
using the,20293,861.1
for each,19991,848.3
such as,19339,820.6
the model,18917,802.7
the training,17852,757.5
used to,17020,722.2
of speech,16183,686.7
we use,16027,680.1
the number,15958,677.2
the performance,15841,672.2
which is,15768,669.1
between the,15731,667.5
the speech,15182,644.2
at the,15110,641.2
the results,15092,640.4
shown in,14560,617.8
neural network,14478,614.4
the first,14266,605.4
in table,14045,596.0
performance of,13856,588.0
the input,13769,584.3
due to,12706,539.2
the best,12512,530.9
this work,12432,527.5
has been,12379,525.3
training data,12316,522.6
compared to,12258,520.2
used for,12234,519.1
is used,12193,517.4
the target,12151,515.6
used in,12126,514.6
set of,11837,502.3
have been,11464,486.5
in section,10953,464.8
in figure,10928,463.7
we propose,10921,463.4
show that,10793,458.0
the baseline,10722,455.0
the speaker,10465,444.1
paper we,10461,443.9
the output,10289,436.6
we also,10177,431.9
than the,10118,429.3
in order,10084,427.9
is to,10047,426.3
for this,9996,424.2
order to,9956,422.5
the two,9953,422.3
as well,9944,422.0
neural networks,9850,418.0
speech and,9844,417.7
in our,9835,417.3
all the,9778,414.9
this is,9483,402.4
is not,9400,398.9
the other,9364,397.4
model is,9263,393.1
the acoustic,9026,383.0
consists of,8963,380.3
of our,8903,377.8
of each,8811,373.9
trained on,8734,370.6
terms of,8659,367.4
in terms,8617,365.7
of this,8612,365.4
proposed method,8600,364.9
we used,8541,362.4
test set,8515,361.3
where the,8494,360.4
the original,8466,359.2
the data,8456,358.8
well as,8348,354.2
we can,8274,351.1
et al,8188,347.5
use the,8049,341.6
use of,8043,341.3
the following,8028,340.7
in addition,7960,337.8
shows the,7763,329.4
the test,7685,326.1
and is,7633,323.9
over the,7599,322.5
this study,7585,321.9
we have,7575,321.4
the second,7536,319.8
there is,7486,317.7
are used,7252,307.7
university of,7251,307.7
the most,7234,307.0
does not,7196,305.4
to improve,7180,304.7
to train,7106,301.5
improve the,7076,300.3
of and,7036,298.6
index terms,7025,298.1
the system,6992,296.7
there are,6961,295.4
acoustic features,6939,294.5
when the,6916,293.5
used as,6916,293.5
speech enhancement,6890,292.4
as follows,6830,289.8
training and,6822,289.5
of these,6811,289.0
results of,6730,285.6
amount of,6700,284.3
for all,6697,284.2
for speech,6687,283.8
error rate,6685,283.7
work we,6669,283.0
that is,6622,281.0
automatic speech,6612,280.6
the network,6536,277.3
our proposed,6511,276.3
are the,6508,276.2
training set,6500,275.8
as shown,6466,274.4
similar to,6456,274.0
results in,6403,271.7
described in,6403,271.7
for example,6390,271.2
while the,6359,269.8
according to,6294,267.1
applied to,6283,266.6
is trained,6270,266.1
deep neural,6255,265.4
language model,6183,262.4
be used,6176,262.1
