heading,count
INTRODUCTION,3168
CONCLUSIONS,1109
EXPERIMENTS,963
ACKNOWLEDGEMENTS,956
RESULTS,786
CONCLUSION,770
DISCUSSION,449
METHODS,384
METHOD,381
RELATED WORK,357
EXPERIMENTAL SETUP,260
METHODOLOGY,243
EXPERIMENTS AND RESULTS,194
RESULTS AND DISCUSSION,167
PROPOSED METHOD,162
EXPERIMENTAL RESULTS,149
EXPERIMENT,108
ACKNOWLEDGMENTS,95
ACKNOWLEDGEMENT,92
CONCLUSIONS AND FUTURE WORK,88
BACKGROUND,87
DATA,82
CONCLUSION AND FUTURE WORK,72
RELATED WORKS,58
MODEL,56
DATASET,53
EVALUATION,51
SYSTEM DESCRIPTION,51
PROPOSED APPROACH,51
DISCUSSION AND CONCLUSION,44
APPROACH,42
DISCUSSION AND CONCLUSIONS,41
ACKNOWLEDGMENT,39
DATASETS,36
ANALYSIS,28
MATERIALS AND METHODS,28
EXPERIMENTAL EVALUATION,27
MODELS,27
RESULTS AND ANALYSIS,26
RESULTS AND DISCUSSIONS,26
PROBLEM FORMULATION,25
EXPERIMENT SETUP,23
EXPERIMENTAL DETAILS,22
CONCLUDING REMARKS,22
MODEL ARCHITECTURE,22
OUR APPROACH,19
DATA COLLECTION,19
PROPOSED METHODS,19
DATABASE,18
EXPERIMENTAL SETUP AND RESULTS,18
FEATURE EXTRACTION,17
SUMMARY AND CONCLUSIONS,17
PROPOSED SYSTEM,16
RESEARCH METHODOLOGY,16
CORPUS,16
PROPOSED MODEL,16
EXPERIMENTAL SETTINGS,15
ARCHITECTURE,15
PROPOSED FRAMEWORK,15
THE PROPOSED METHOD,14
EVALUATION RESULTS,13
EXPERIMENTS AND DISCUSSION,13
FEATURES,13
CORPORA,13
EXPERIMENT 1,13
EXPERIMENT 2,13
MODEL DESCRIPTION,13
MATERIALS,12
SUMMARY,12
SYSTEM ARCHITECTURE,11
PERFORMANCE EVALUATION,11
SYSTEM,10
MOTIVATION,10
EXPERIMENTAL RESULTS AND DISCUSSION,9
IMPLEMENTATION,9
CONCLUSIONS AND FUTURE WORKS,9
EXPERIMENTAL EVALUATIONS,8
DISCUSSION AND FUTURE WORK,8
SYSTEM OVERVIEW,8
INTRODUCTION AND RELATED WORK,8
PROPOSED METHODOLOGY,8
ANALYSIS AND RESULTS,7
DATABASES,7
EXPERIMENTS AND RESULT ANALYSIS,7
SIMULATION RESULTS,7
DATASET DESCRIPTION,7
EXPERIMENTAL SETTING,7
PRELIMINARIES,7
SIGNAL MODEL,6
PREVIOUS WORK,6
DATA DESCRIPTION,6
EXPERIMENTS AND DISCUSSIONS,6
