structure,count
INTRODUCTION > METHODS > RESULTS > DISCUSSION > CONCLUSIONS > ACKNOWLEDGEMENTS,39
INTRODUCTION > METHODS > RESULTS,32
INTRODUCTION > METHOD > RESULTS,32
INTRODUCTION > METHOD > RESULTS > DISCUSSION,31
INTRODUCTION > METHODS > RESULTS > DISCUSSION,30
INTRODUCTION > METHOD > RESULTS > DISCUSSION > CONCLUSIONS > ACKNOWLEDGEMENTS,26
INTRODUCTION > METHOD > RESULTS > DISCUSSION > ACKNOWLEDGEMENTS,25
INTRODUCTION > METHODS > RESULTS > DISCUSSION > ACKNOWLEDGEMENTS,16
INTRODUCTION > METHOD > EXPERIMENTS > CONCLUSIONS,15
INTRODUCTION > METHOD > RESULTS > DISCUSSION > CONCLUSION > ACKNOWLEDGEMENTS,12
INTRODUCTION > METHODS > RESULTS > DISCUSSION > CONCLUSIONS,11
INTRODUCTION > METHOD > EXPERIMENTS > CONCLUSIONS > ACKNOWLEDGEMENTS,10
INTRODUCTION > METHODOLOGY > RESULTS,10
INTRODUCTION > METHODS > RESULTS > DISCUSSION > CONCLUSION > ACKNOWLEDGEMENTS,10
INTRODUCTION > METHODOLOGY > EXPERIMENTS,9
INTRODUCTION > METHODOLOGY > EXPERIMENTS > CONCLUSIONS > ACKNOWLEDGEMENTS,9
INTRODUCTION > METHODOLOGY > EXPERIMENTS > CONCLUSIONS,9
INTRODUCTION > METHOD > RESULTS > DISCUSSION > CONCLUSIONS,8
INTRODUCTION > METHOD > RESULTS > CONCLUSIONS > ACKNOWLEDGEMENTS,8
INTRODUCTION > METHODS > EXPERIMENTS > CONCLUSIONS,8
INTRODUCTION > METHODS > EXPERIMENTS > CONCLUSIONS > ACKNOWLEDGEMENTS,7
INTRODUCTION > METHOD > RESULTS > DISCUSSION > CONCLUSION,7
INTRODUCTION > METHODOLOGY > RESULTS > DISCUSSION,7
INTRODUCTION > METHOD > EXPERIMENTS > CONCLUSION,7
INTRODUCTION > RELATED WORK > METHODOLOGY,7
INTRODUCTION > METHODS > EXPERIMENTS,6
INTRODUCTION > METHODOLOGY > RESULTS > CONCLUSIONS > ACKNOWLEDGEMENTS,6
INTRODUCTION > METHODOLOGY > RESULTS > DISCUSSION > CONCLUSIONS > ACKNOWLEDGEMENTS,6
INTRODUCTION > PROPOSED METHOD > EXPERIMENTS > CONCLUSIONS > ACKNOWLEDGEMENTS,6
INTRODUCTION > RELATED WORK > DATA,6
INTRODUCTION > PROPOSED METHOD > EXPERIMENTS > CONCLUSION,6
INTRODUCTION > METHODS > RESULTS AND DISCUSSION > CONCLUSION > ACKNOWLEDGEMENTS,5
INTRODUCTION > METHODS > EXPERIMENTS > CONCLUSION,5
INTRODUCTION > METHODOLOGY > EXPERIMENTS > CONCLUSION > ACKNOWLEDGEMENTS,5
INTRODUCTION > PROPOSED METHOD > EXPERIMENTS > CONCLUSIONS,5
INTRODUCTION > PROPOSED APPROACH > EXPERIMENTS > CONCLUSIONS,4
INTRODUCTION > PROPOSED APPROACH > EXPERIMENTS > CONCLUSION,4
INTRODUCTION > MATERIALS AND METHODS > RESULTS > DISCUSSION AND CONCLUSIONS > ACKNOWLEDGEMENTS,4
INTRODUCTION > METHODS > RESULTS > DISCUSSION > CONCLUSION,4
INTRODUCTION > EXPERIMENT 1 > EXPERIMENT 2,4
INTRODUCTION > METHOD > RESULTS > DISCUSSION AND CONCLUSION,4
INTRODUCTION > RESEARCH METHODOLOGY > EXPERIMENTAL SETUP AND RESULTS > CONCLUSIONS,4
INTRODUCTION > METHOD > EXPERIMENTS,4
INTRODUCTION > MATERIALS AND METHODS > RESULTS > DISCUSSION,4
INTRODUCTION > MODEL > EXPERIMENTS > RESULTS > CONCLUSIONS > ACKNOWLEDGEMENTS,4
INTRODUCTION > SYSTEM DESCRIPTION > EXPERIMENTAL SETUP > EVALUATION RESULTS > CONCLUDING REMARKS,4
INTRODUCTION > MATERIALS AND METHODS > RESULTS > DISCUSSION > CONCLUSION > ACKNOWLEDGEMENTS,4
INTRODUCTION > METHOD > EXPERIMENT > CONCLUSIONS,4
INTRODUCTION > METHODOLOGY > EXPERIMENTAL SETUP > RESULTS > CONCLUSIONS,4
INTRODUCTION > METHODOLOGY > EXPERIMENTS > CONCLUSION,4
INTRODUCTION > METHOD > EXPERIMENTS > CONCLUSION > ACKNOWLEDGEMENTS,4
INTRODUCTION > EXPERIMENT > DISCUSSION > CONCLUSIONS > ACKNOWLEDGEMENTS,3
INTRODUCTION > METHODS > RESULTS > CONCLUSIONS > ACKNOWLEDGEMENTS,3
INTRODUCTION > RESEARCH METHODOLOGY > EXPERIMENTAL SETUP AND RESULTS > CONCLUSIONS > ACKNOWLEDGMENTS,3
INTRODUCTION > MODELS > EXPERIMENTS,3
INTRODUCTION > DATA > METHOD,3
INTRODUCTION > EXPERIMENT > RESULTS,3
INTRODUCTION > MODEL > EXPERIMENTS > CONCLUSIONS > ACKNOWLEDGEMENTS,3
INTRODUCTION > METHODOLOGY > RESULTS > DISCUSSION > ACKNOWLEDGEMENTS,3
INTRODUCTION > METHODS > RESULTS AND DISCUSSION > CONCLUSIONS > ACKNOWLEDGEMENTS,3
INTRODUCTION > EXPERIMENT > DISCUSSION,3
INTRODUCTION > METHOD > RESULTS > DISCUSSION AND CONCLUSION > ACKNOWLEDGEMENTS,3
INTRODUCTION > PROPOSED METHOD > EXPERIMENTS > CONCLUSION > ACKNOWLEDGEMENT,3
INTRODUCTION > APPROACH > EXPERIMENTS > CONCLUSION > ACKNOWLEDGEMENTS,3
INTRODUCTION > METHODOLOGY > EXPERIMENTS > CONCLUSION > ACKNOWLEDGEMENT,3
INTRODUCTION > THE FOUR SUB-CHALLENGES > EXPERIMENTS AND RESULTS > CONCLUDING REMARKS > ACKNOWLEDGEMENTS,3
INTRODUCTION > MODEL > EXPERIMENTS > RELATED WORK,3
INTRODUCTION > PROPOSED METHOD > EXPERIMENTS AND DISCUSSION > CONCLUSIONS > ACKNOWLEDGEMENTS,3
INTRODUCTION > PROPOSED METHOD > EXPERIMENTS > CONCLUSION > ACKNOWLEDGEMENTS,3
INTRODUCTION > METHODOLOGY > EXPERIMENTS AND RESULTS > CONCLUSIONS,3
INTRODUCTION > RELATED WORK > METHODOLOGY > EXPERIMENTS > CONCLUSION,3
INTRODUCTION > METHOD > EXPERIMENT > CONCLUSION,3
INTRODUCTION > RELATED WORK > PROPOSED METHOD > EXPERIMENTS > CONCLUSIONS,3
INTRODUCTION > METHOD > EXPERIMENTS AND RESULTS > CONCLUSIONS,3
INTRODUCTION > RELATED WORK > METHOD > EXPERIMENTS > CONCLUSION,3
INTRODUCTION > RELATED WORK > METHOD > EXPERIMENTS > CONCLUSIONS > ACKNOWLEDGEMENTS,3
INTRODUCTION > METHODS > RESULTS > DISCUSSION AND CONCLUSIONS > ACKNOWLEDGEMENTS,3
INTRODUCTION > RELATED WORK > APPROACH > EXPERIMENTS > CONCLUSION,3
INTRODUCTION > PROPOSED METHOD > EXPERIMENTS AND RESULTS > CONCLUSION,3
INTRODUCTION > METHODS > RESULTS > DISCUSSION AND CONCLUSION > ACKNOWLEDGEMENTS,3
INTRODUCTION > EXPERIMENT > RESULTS > DISCUSSION > CONCLUSIONS,2
INTRODUCTION > MOTIVATIONAL INTERVIEWING DATA > METHODOLOGY > EXPERIMENTS AND RESULTS,2
INTRODUCTION > METHODS > RESULTS > DISCUSSION > ACKNOWLEDGMENTS,2
INTRODUCTION > PREVIOUS WORK > DATA,2
INTRODUCTION > METHODOLOGY > RESULTS > DISCUSSION AND CONCLUSIONS > ACKNOWLEDGEMENTS,2
INTRODUCTION > METHOD > RESULTS > DISCUSSION AND SUMMARY > ACKNOWLEDGEMENTS,2
INTRODUCTION > EXPERIMENT > RESULTS > DISCUSSION > CONCLUSIONS > ACKNOWLEDGEMENTS,2
INTRODUCTION > METHODS > EXPERIMENTS > CONCLUSIONS > ACKNOWLEDGMENTS,2
INTRODUCTION > METHODOLOGY > RESULTS > CONCLUSION > ACKNOWLEDGEMENTS,2
INTRODUCTION > PROPOSED SYSTEM > EXPERIMENTS > CONCLUSIONS > ACKNOWLEDGEMENTS,2
INTRODUCTION > PROPOSED METHOD > EXPERIMENTAL SETUP > RESULTS,2
INTRODUCTION > PROPOSED FRAMEWORK > EXPERIMENTAL RESULTS > CONCLUSION > ACKNOWLEDGMENTS,2
INTRODUCTION > EXPERIMENTS > DISCUSSION,2
INTRODUCTION > EXPERIMENT 1 > EXPERIMENT 2 > DISCUSSION > CONCLUSIONS > ACKNOWLEDGEMENTS,2
INTRODUCTION > EXPERIMENT > RESULTS > DISCUSSION,2
INTRODUCTION > METHOD > EXPERIMENTS > CONCLUSIONS > ACKNOWLEDGEMENT,2
INTRODUCTION > RELATION TO PRIOR WORK > DATA,2
INTRODUCTION > EXPERIMENT 1 > EXPERIMENT 2 > GENERAL DISCUSSION,2
INTRODUCTION > DATA > EXPERIMENTS > CONCLUSIONS > ACKNOWLEDGEMENTS,2
INTRODUCTION > ARCHITECTURE > EXPERIMENTS > CONCLUSION,2
