ngram,count,per_million
the number of,15601,662.0
in this paper,14351,609.0
this paper we,10147,430.6
the performance of,10036,425.9
in order to,9857,418.3
based on the,9218,391.2
in terms of,8582,364.2
as well as,8249,350.0
in this work,7435,315.5
the proposed method,6126,260.0
automatic speech recognition,6119,259.7
as shown in,6039,256.3
due to the,6020,255.5
of the proposed,6008,254.9
the use of,5251,222.8
we use the,4920,208.8
performance of the,4832,205.0
this work we,4772,202.5
compared to the,4691,199.1
is used to,4662,197.8
shown in figure,4594,194.9
dx doi org,4482,190.2
for this manuscript,4481,190.1
http dx doi,4480,190.1
interspeech abstract cards,4465,189.5
search hub toc,4465,189.5
hub toc for,4465,189.5
toc for this,4465,189.5
doi org interspeech,4460,189.3
one of the,4413,187.3
in this study,4306,182.7
this manuscript interspeech,4272,181.3
manuscript interspeech abstract,4272,181.3
shown in table,4212,178.7
abstract cards page,4064,172.5
where is the,4059,172.2
the training data,3936,167.0
show that the,3845,163.2
that the proposed,3818,162.0
speech recognition asr,3715,157.6
to improve the,3712,157.5
the results of,3668,155.6
the output of,3640,154.5
on the other,3529,149.8
in the training,3503,148.6
the effect of,3487,148.0
results show that,3466,147.1
with respect to,3434,145.7
the training set,3422,145.2
can be used,3420,145.1
it can be,3305,140.2
is based on,3263,138.5
the other hand,3237,137.4
the test set,3235,137.3
used in the,3235,137.3
are shown in,3222,136.7
each of the,3173,134.6
according to the,3081,130.7
the effectiveness of,3072,130.4
deep neural network,3035,128.8
is shown in,2926,124.2
of the speech,2922,124.0
deep neural networks,2882,122.3
word error rate,2821,119.7
in addition to,2807,119.1
part of the,2765,117.3
we used the,2740,116.3
can be seen,2701,114.6
output of the,2686,114.0
to evaluate the,2677,113.6
in this section,2649,112.4
paper we propose,2633,111.7
table shows the,2628,111.5
of the model,2612,110.8
page view manuscript,2575,109.3
the case of,2565,108.8
the quality of,2520,106.9
figure shows the,2514,106.7
to train the,2454,104.1
of the target,2450,104.0
shown in fig,2436,103.4
similar to the,2403,102.0
described in section,2398,101.8
and is the,2392,101.5
be used to,2368,100.5
to reduce the,2354,99.9
is used for,2319,98.4
the fact that,2302,97.7
the amount of,2287,97.0
the proposed approach,2277,96.6
in the case,2272,96.4
are used to,2262,96.0
used as the,2209,93.7
results of the,2200,93.4
we show that,2198,93.3
the speech signal,2181,92.5
cards page view,2174,92.3
the proposed model,2139,90.8
in table the,2132,90.5
in figure the,2123,90.1
the target speaker,2122,90.0
of the input,2111,89.6
trained on the,2103,89.2
is the number,2083,88.4
this section we,2080,88.3
this study we,2077,88.1
extracted from the,2073,88.0
in our experiments,2067,87.7
of the training,2064,87.6
view manuscript of,2045,86.8
recurrent neural network,2043,86.7
in section we,2037,86.4
the model is,2014,85.5
was used to,1997,84.7
we propose to,1992,84.5
in the first,1979,84.0
the size of,1977,83.9
well as the,1969,83.6
the presence of,1968,83.5
speaker veri cation,1966,83.4
note that the,1966,83.4
size of the,1954,82.9
used for the,1948,82.7
there is no,1946,82.6
the development set,1938,82.2
is defined as,1930,81.9
total number of,1925,81.7
copyright isca http,1923,81.6
is set to,1918,81.4
isca http dx,1906,80.9
of the two,1894,80.4
the impact of,1891,80.2
in the following,1890,80.2
of the same,1889,80.2
the context of,1887,80.1
most of the,1883,79.9
which can be,1869,79.3
of training data,1866,79.2
in which the,1821,77.3
referred to as,1819,77.2
to estimate the,1819,77.2
to predict the,1818,77.1
the results are,1808,76.7
interspeech detailed author,1805,76.6
detailed author index,1805,76.6
is used as,1800,76.4
the task of,1794,76.1
in the context,1783,75.7
https github com,1782,75.6
the distribution of,1779,75.5
with the same,1777,75.4
as described in,1764,74.9
we can see,1764,74.9
the same as,1763,74.8
improve the performance,1762,74.8
in the same,1758,74.6
the rest of,1757,74.6
model is trained,1752,74.3
that of the,1750,74.3
compared with the,1746,74.1
applied to the,1742,73.9
the vocal tract,1741,73.9
such as the,1734,73.6
the length of,1730,73.4
this paper is,1725,73.2
to obtain the,1720,73.0
quality of the,1718,72.9
in table we,1705,72.4
between the two,1702,72.2
better than the,1695,71.9
used to train,1692,71.8
number of speakers,1681,71.3
of the speaker,1679,71.2
we found that,1672,70.9
the acoustic model,1664,70.6
the total number,1662,70.5
recurrent neural networks,1659,70.4
is applied to,1657,70.3
the accuracy of,1655,70.2
the best performance,1652,70.1
corresponding to the,1649,70.0
of this paper,1649,70.0
is that the,1647,69.9
have been proposed,1645,69.8
of the data,1639,69.5
it has been,1623,68.9
long short-term memory,1621,68.8
on the development,1621,68.8
the set of,1620,68.7
in this case,1614,68.5
can be found,1597,67.8
on the test,1596,67.7
author index page,1593,67.6
this work was,1588,67.4
is able to,1584,67.2
input to the,1578,67.0
used in this,1578,67.0
as function of,1560,66.2
respect to the,1552,65.9
that can be,1549,65.7
we observe that,1546,65.6
for each of,1542,65.4
results on the,1527,64.8
by using the,1509,64.0
been shown to,1505,63.9
error rate wer,1500,63.7
