word,count,per_million
speech,191195,8113.2
data,96129,4079.2
training,86789,3682.8
speaker,74130,3145.6
features,72980,3096.8
models,61457,2607.9
system,59279,2515.5
performance,57484,2439.3
set,56755,2408.3
different,47512,2016.1
acoustic,45248,1920.1
recognition,44275,1878.8
figure,43383,1840.9
language,43294,1837.1
network,42781,1815.4
feature,41751,1771.7
asr,39935,1694.6
test,37849,1606.1
learning,37728,1601.0
information,37599,1595.5
speakers,37181,1577.7
time,37007,1570.4
input,36537,1550.4
layer,35568,1509.3
trained,34981,1484.4
number,34048,1444.8
systems,33924,1439.5
audio,33882,1437.8
word,33332,1414.4
neural,32793,1391.5
work,31176,1322.9
task,30792,1306.6
noise,30262,1284.1
output,28387,1204.6
target,27489,1166.5
baseline,27084,1149.3
signal,26612,1129.3
dataset,26178,1110.8
experiments,26124,1108.5
while,25507,1082.4
loss,25470,1080.8
rate,25469,1080.8
however,25308,1073.9
words,25096,1064.9
voice,24713,1048.7
methods,24412,1035.9
evaluation,23782,1009.2
utterances,23366,991.5
corpus,22491,954.4
layers,22270,945.0
better,21954,931.6
parameters,21717,921.5
function,21296,903.7
analysis,20852,884.8
attention,20841,884.4
accuracy,20802,882.7
error,20197,857.0
study,20083,852.2
compared,19951,846.6
detection,19762,838.6
frequency,19692,835.6
dnn,19640,833.4
size,19519,828.3
encoder,18877,801.0
sequence,18840,799.5
utterance,18777,796.8
deep,18666,792.1
quality,18654,791.6
best,18507,785.3
mean,18393,780.5
obtained,17769,754.0
networks,17599,746.8
text,17532,744.0
terms,17461,740.9
context,17130,726.9
source,17090,725.2
similar,17079,724.7
english,17067,724.2
page,16981,720.6
classification,16968,720.0
vector,16934,718.6
well,16791,712.5
embedding,16762,711.3
representation,16711,709.1
abstract,16710,709.1
train,16631,705.7
further,16495,700.0
tasks,16488,699.7
score,16455,698.3
languages,16292,691.3
duration,16031,680.3
architecture,15963,677.4
interspeech,15888,674.2
wer,15862,673.1
university,15844,672.3
domain,15709,666.6
samples,15597,661.8
average,15480,656.9
without,15446,655.4
frame,15319,650.0
level,15272,648.1
order,14986,635.9
scores,14981,635.7
automatic,14979,635.6
previous,14730,625.1
since,14722,624.7
values,14638,621.2
search,14519,616.1
new,14457,613.5
hidden,14280,606.0
research,14232,603.9
algorithm,14039,595.7
applied,14017,594.8
conditions,13930,591.1
lstm,13803,585.7
high,13713,581.9
large,13653,579.4
frames,13617,577.8
adaptation,13601,577.1
improve,13457,571.0
processing,13417,569.3
distribution,13333,565.8
spectral,13233,561.5
linear,13199,560.1
single,13150,558.0
modeling,13149,558.0
following,13073,554.7
length,12860,545.7
due,12844,545.0
framework,12797,543.0
prediction,12777,542.2
found,12774,542.1
emotion,12768,541.8
index,12747,540.9
embeddings,12740,540.6
approaches,12701,539.0
propose,12689,538.4
pitch,12688,538.4
across,12625,535.7
signals,12591,534.3
corresponding,12419,527.0
experimental,12406,526.4
representations,12397,526.1
standard,12375,525.1
process,12358,524.4
noisy,12303,522.1
higher,11979,508.3
problem,11943,506.8
synthesis,11907,505.3
sets,11857,503.1
multiple,11691,496.1
extracted,11688,496.0
decoder,11675,495.4
thus,11633,493.6
case,11598,492.2
challenge,11585,491.6
labels,11552,490.2
example,11509,488.4
present,11465,486.5
development,11445,485.7
total,11435,485.2
significant,11426,484.9
improvement,11406,484.0
spoken,11387,483.2
phoneme,11350,481.6
original,11254,477.6
segments,11166,473.8
because,11154,473.3
human,11144,472.9
effect,11122,472.0
datasets,11030,468.0
experiment,10983,466.1
vowel,10956,464.9
comparison,10910,463.0
available,10848,460.3
result,10823,459.3
relative,10819,459.1
value,10807,458.6
clean,10784,457.6
space,10777,457.3
therefore,10766,456.8
tts,10744,455.9
matrix,10617,450.5
enhancement,10595,449.6
see,10550,447.7
low,10503,445.7
state,10493,445.3
generated,10486,445.0
temporal,10419,442.1
sentences,10415,442.0
several,10365,439.8
units,10237,434.4
presented,10224,433.8
various,10204,433.0
phase,10119,429.4
recordings,10115,429.2
lower,10032,425.7
many,10026,425.4
cnn,10016,425.0
objective,10008,424.7
convolutional,9996,424.2
step,9976,423.3
participants,9972,423.2
performed,9897,420.0
log,9885,419.5
end-to-end,9883,419.4
including,9698,411.5
sound,9697,411.5
probability,9663,410.0
vectors,9658,409.8
fusion,9599,407.3
described,9595,407.2
studies,9588,406.9
part,9568,406.0
structure,9554,405.4
sentence,9520,404.0
estimation,9511,403.6
even,9486,402.5
phone,9430,400.2
difference,9429,400.1
consists,9401,398.9
phonetic,9359,397.1
label,9341,396.4
usa,9317,395.4
four,9277,393.7
small,9247,392.4
types,9219,391.2
out,9184,389.7
within,9183,389.7
database,9146,388.1
cation,9084,385.5
observed,9081,385.3
manuscript,9075,385.1
finally,9070,384.9
range,9029,383.1
condition,9027,383.1
possible,8993,381.6
addition,8989,381.4
significantly,8882,376.9
class,8843,375.2
intelligibility,8832,374.8
overall,8806,373.7
separation,8669,367.9
extraction,8659,367.4
estimated,8654,367.2
final,8645,366.8
distance,8628,366.1
less,8624,366.0
perform,8618,365.7
knowledge,8561,363.3
future,8537,362.3
weights,8511,361.2
computed,8499,360.6
techniques,8498,360.6
evaluate,8497,360.6
important,8494,360.4
additional,8480,359.8
selected,8472,359.5
hours,8433,357.8
reference,8425,357.5
similarity,8369,355.1
decoding,8351,354.4
contains,8333,353.6
obtain,8321,353.1
vocal,8246,349.9
errors,8246,349.9
natural,8239,349.6
long,8235,349.4
like,8217,348.7
follows,8205,348.2
alignment,8156,346.1
prosodic,8129,344.9
uses,8124,344.7
segment,8121,344.6
current,8106,344.0
introduction,8076,342.7
achieved,8066,342.3
related,8046,341.4
real,8021,340.4
transformer,7939,336.9
compare,7928,336.4
group,7917,336.0
learn,7911,335.7
random,7910,335.7
authors,7870,334.0
sample,7839,332.6
block,7820,331.8
directly,7803,331.1
vowels,7796,330.8
differences,7776,330.0
evaluated,7768,329.6
generate,7736,328.3
parameter,7725,327.8
snr,7709,327.1
provide,7698,326.7
combination,7698,326.7
conversion,7677,325.8
channel,7662,325.1
dimension,7636,324.0
window,7635,324.0
note,7566,321.1
linguistic,7532,319.6
way,7525,319.3
measure,7522,319.2
module,7512,318.8
joint,7495,318.0
much,7466,316.8
type,7461,316.6
although,7461,316.6
weight,7426,315.1
dimensional,7379,313.1
recurrent,7369,312.7
listeners,7339,311.4
classifier,7334,311.2
improved,7329,311.0
robust,7325,310.8
correlation,7273,308.6
considered,7245,307.4
reported,7197,305.4
conventional,7197,305.4
pronunciation,7195,305.3
i-vector,7177,304.5
another,7172,304.3
amount,7154,303.6
memory,7148,303.3
outputs,7104,301.5
still,7063,299.7
spectrum,7059,299.5
