ngram,count,per_million
of the,25066,12532.9
in the,11678,5838.9
to the,7409,3704.5
can be,6862,3431.0
and the,6153,3076.5
for the,6023,3011.5
is the,4962,2481.0
that the,4553,2276.5
on the,4328,2164.0
number of,3605,1802.5
in this,3406,1703.0
with the,3293,1646.5
by the,3196,1598.0
from the,3128,1564.0
it is,3009,1504.5
to be,2996,1498.0
based on,2369,1184.5
this paper,2276,1138.0
as the,2260,1130.0
the same,2078,1039.0
at the,2013,1006.5
using the,1987,993.5
the number,1919,959.5
the proposed,1696,848.0
we have,1668,834.0
the following,1602,801.0
used to,1537,768.5
shown in,1483,741.5
where is,1470,735.0
has been,1441,720.5
which is,1402,701.0
set of,1379,689.5
the first,1364,682.0
for each,1347,673.5
we can,1334,667.0
due to,1331,665.5
the signal,1329,664.5
and is,1319,659.5
given by,1230,615.0
between the,1194,597.0
in order,1185,592.5
is to,1175,587.5
in fig,1172,586.0
in figure,1167,583.5
where the,1164,582.0
order to,1158,579.0
that is,1141,570.5
in section,1122,561.0
performance of,1118,559.0
the channel,1111,555.5
is not,1100,550.0
this is,1083,541.5
of this,1074,537.0
will be,1066,533.0
the performance,1054,527.0
such as,1044,522.0
if the,1037,518.5
and are,1032,516.0
when the,1027,513.5
used in,1024,512.0
is used,1023,511.5
is given,975,487.5
have been,973,486.5
the system,954,477.0
the input,950,475.0
note that,923,461.5
be used,894,447.0
the algorithm,893,446.5
the case,866,433.0
than the,857,428.5
the data,855,427.5
the results,844,422.0
use of,842,421.0
paper we,841,420.5
used for,823,411.5
as follows,821,410.5
shows the,811,405.5
all the,807,403.5
the two,805,402.5
are the,803,401.5
of and,803,401.5
the original,793,396.5
the output,786,393.0
the noise,776,388.0
the other,761,380.5
the second,754,377.0
algorithm is,751,375.5
case of,748,374.0
is an,739,369.5
function of,732,366.0
may be,718,359.0
according to,705,352.5
the problem,705,352.5
value of,696,348.0
does not,693,346.5
speech recognition,685,342.5
such that,683,341.5
there is,677,338.5
as well,672,336.0
it can,672,336.0
of an,671,335.5
is shown,667,333.5
the speech,667,333.5
the optimal,661,330.5
since the,660,330.0
there are,658,329.0
of these,648,324.0
applied to,648,324.0
by using,644,322.0
is that,644,322.0
we use,639,319.5
the best,634,317.0
the filter,633,316.5
figure shows,620,310.0
show that,619,309.5
signal is,616,308.0
for example,616,308.0
the new,612,306.0
obtained by,610,305.0
should be,608,304.0
the maximum,594,297.0
the model,593,296.5
for all,588,294.0
then the,585,292.5
the time,582,291.0
values of,581,290.5
of each,581,290.5
are used,579,289.5
so that,577,288.5
over the,576,288.0
the use,571,285.5
the image,571,285.5
terms of,569,284.5
the frequency,564,282.0
the above,564,282.0
in our,562,281.0
section we,558,279.0
to obtain,557,278.5
the matrix,556,278.0
one of,551,275.5
the training,551,275.5
is also,550,275.0
be the,548,274.0
described in,547,273.5
as in,543,271.5
in which,543,271.5
corresponding to,543,271.5
with respect,542,271.0
respect to,542,271.0
signal processing,541,270.5
we will,541,270.5
the corresponding,538,269.0
the most,537,268.5
in terms,536,268.0
results in,535,267.5
error rate,533,266.5
use the,531,265.5
well as,530,265.0
this work,526,263.0
for this,523,261.5
consists of,522,261.0
the desired,517,258.5
the error,510,255.0
probability of,507,253.5
the average,507,253.5
that are,505,252.5
is based,505,252.5
estimate of,504,252.0
fig the,500,250.0
which are,499,249.5
we propose,498,249.0
in table,495,247.5
estimation of,494,247.0
and for,493,246.5
shown that,492,246.0
the resulting,490,245.0
the target,490,245.0
into the,489,244.5
compared to,487,243.5
of speech,481,240.5
the next,476,238.0
equal to,476,238.0
that of,474,237.0
and in,472,236.0
defined as,471,235.5
this case,468,234.0
assume that,468,234.0
the previous,465,232.5
and then,465,232.5
the th,465,232.5
algorithm for,463,231.5
problem of,460,230.0
of is,458,229.0
denotes the,457,228.5
the probability,457,228.5
the received,455,227.5
the total,454,227.0
must be,454,227.0
