ngram,count,per_million
the number of,2600,988.3
in this paper,2216,842.3
in order to,1481,562.9
based on the,1422,540.5
where is the,1333,506.7
this paper we,1272,483.5
the performance of,1197,455.0
performance of the,904,343.6
is given by,868,329.9
due to the,838,318.5
of the proposed,741,281.7
it can be,727,276.3
in terms of,716,272.2
is based on,715,271.8
shown in fig,710,269.9
and is the,670,254.7
with respect to,670,254.7
as shown in,665,252.8
as well as,648,246.3
the use of,643,244.4
shown in figure,621,236.0
can be used,620,235.7
the case of,589,223.9
is used to,562,213.6
according to the,538,204.5
one of the,538,204.5
is shown in,537,204.1
in this case,526,199.9
the proposed method,506,192.3
in this section,453,172.2
is defined as,443,168.4
figure shows the,443,168.4
in the following,439,166.9
in the case,438,166.5
be used to,429,163.1
the set of,422,160.4
to estimate the,415,157.7
function of the,407,154.7
can be seen,400,152.0
on the other,397,150.9
the presence of,394,149.8
note that the,388,147.5
the proposed algorithm,386,146.7
show that the,383,145.6
the other hand,381,144.8
we assume that,379,144.1
the problem of,378,143.7
that of the,377,143.3
used in the,376,142.9
of the channel,375,142.5
the output of,369,140.3
is the number,367,139.5
can be obtained,366,139.1
assume that the,362,137.6
of the signal,360,136.8
the fact that,357,135.7
in section we,346,131.5
each of the,344,130.8
the value of,343,130.4
we use the,342,130.0
as function of,342,130.0
are shown in,341,129.6
assumed to be,338,128.5
to reduce the,338,128.5
that can be,335,127.3
the effect of,333,126.6
can be written,330,125.4
compared to the,329,125.1
this section we,323,122.8
part of the,322,122.4
corresponding to the,322,122.4
this paper is,313,119.0
by using the,311,118.2
estimate of the,310,117.8
which can be,309,117.5
respect to the,307,116.7
be written as,305,115.9
output of the,301,114.4
in figure the,299,113.7
value of the,296,112.5
in fig the,296,112.5
of the algorithm,295,112.1
the training data,292,111.0
and can be,292,111.0
of the original,292,111.0
so that the,291,110.6
are used to,290,110.2
can be expressed,290,110.2
of the two,290,110.2
there is no,289,109.8
estimation of the,288,109.5
in this work,287,109.1
to find the,287,109.1
can be found,286,108.7
of the input,286,108.7
results show that,284,107.9
can also be,282,107.2
the length of,281,106.8
that the proposed,280,106.4
and are the,280,106.4
where and are,278,105.7
the probability of,276,104.9
given by the,273,103.8
is that the,270,102.6
be expressed as,269,102.2
total number of,268,101.9
depends on the,266,101.1
