phrase,count,per_million
in this paper,2402,850.51
on the other hand,448,158.63
in this work,431,152.61
not only,301,106.58
but also,268,94.89
in other words,259,91.71
a variety of,157,55.59
state-of-the-art,147,52.05
experimental results show,143,50.63
a wide range of,87,30.81
due to the fact that,82,29.03
in recent years,80,28.33
it should be noted,76,26.91
the rest of this paper,70,24.79
remainder of this paper,47,16.64
more and more,38,13.46
to the best of our knowledge,34,12.04
it is important to note,33,11.68
experimental results demonstrate,30,10.62
it is worth noting,27,9.56
plays an important role,27,9.56
myriad,25,8.85
plays a crucial role,7,2.48
a plethora of,5,1.77
in the realm of,3,1.06
sheds light on,1,0.35
plays a vital role,0,0.0
has garnered,0,0.0
paving the way,0,0.0
ever-evolving,0,0.0
rapidly evolving,0,0.0
