structure,count
INTRODUCTION > METHODS > RESULTS > CONCLUSION,2
INTRODUCTION > THEORY > RESULTS,2
INTRODUCTION > THE PROPOSED METHOD > EXPERIMENTAL RESULTS > CONCLUSIONS,2
INTRODUCTION > THE CODEC AND ITS PARAMETERS > OBJECTIVE PERCEPTUAL EVALUATION > GLOBAL SEARCH WITH SIMULATED,1
INTRODUCTION > PRELIMINARIES > MH/MD CODER FOR WIRELESS APPLICATIONS > SIMULATIONS,1
INTRODUCTION > SUBSPACE DECOMPOSITION FOR SPEECH SIGNAL > MINIMUM SUBSPACE NOISE TRACKING FOR NOISE > EXPERIMENTAL RESULTS > CONCLUDING RESULTS,1
INTRODUCTION > MIXING AND SEPARATION PROCESSES > PROPOSED METHOD > EXPERIMENTS > CONCLUSION,1
INTRODUCTION > ADAPTIVE SIGNAL EXPANSIONS > ORACLE ESTIMATION,1
INTRODUCTION > INTENSITY VECTOR DIRECTION CALCULATION > EXHAUSTIVE SEPARATION > DIMENSIONALITY REDUCTION > RESULTS > CONCLUSIONS,1
INTRODUCTION > PRINCIPLE > EXPERIMENTS > CONCLUDING REMARKS,1
INTRODUCTION > RELATED WORKS > FEATURE EXTRACTION > CLASSIFICATION,1
INTRODUCTION > SCHEME OF THE PRH ALGORITHM > DCT BASED MULTIPLE HASHING ALGORITHM > EXPERIMENTAL RESULTS > CONCLUSIONS,1
INTRODUCTION > REPRESENTATION AND DATA COLLECTION > AUTOMATIC SPEECH EMOTION RECOGNITION > EXPERIMENTS,1
INTRODUCTION > PROBLEM OVERVIEW > GAUSSIAN MIXTURE MODELS AND GMM > GMM SUPERVECTOR SPACE,1
INTRODUCTION > SUPERDIRECTIONAL BEAMFORMING > ROBUSTNESS CONSTRAINT > EVALUATION > CONCLUSIONS,1
INTRODUCTION > LEAST SQUARES REPRODUCTION > MODE MATCHING APPROACH > SPHERE IN ROOM SIMULATION,1
INTRODUCTION > SEPARATION ALGORITHM > VALIDATION > EXPERIMENTS > CONCLUSION,1
INTRODUCTION > THE METHOD > EXPERIMENTS AND RESULTS > CONCLUSION,1
INTRODUCTION > SIGNAL MODEL > COMPLETE SOURCE SEPARATION ALGORITHM > EXPERIMENTS > CONCLUSIONS AND FUTURE WORKS > ACKNOWLEDGEMENTS,1
INTRODUCTION > ANALYSIS OF EXISTENT ALGORITHMS > SEGREGATION : A LEAST SQUARES PROBLEM > EVALUATION > CONCLUSIONS,1
INTRODUCTION > SPEAKER SUBSPACE MODEL > MIXED SIGNAL MODEL > VARIATIONAL LEARNING > EXPERIMENTS > CONCLUSIONS,1
INTRODUCTION > PROPOSED BLIND SOURCE EXTRACTION > REAL-TIME BSE MICROPHONE > EXPERIMENTAL EVALUATIONS,1
INTRODUCTION > THE SYSTEM MODEL > EXPERIMENTS AND RESULTS,1
INTRODUCTION > CONFIGURATION AND NOTATION > NOISE REDUCTION: SDW-MWF AND SPATIAL > SIMULATIONS > CONCLUSION,1
INTRODUCTION > PROBLEM STATEMENT > SPATIAL PREDICTION BETWEEN A MICROPHONE > PROPOSED METHOD > EXPERIMENT > CONCLUSION,1
INTRODUCTION > METHOD > EXPERIMENTS > CONCLUSION,1
