word,count,per_million
data,8694,3078.4
speech,7544,2671.2
algorithm,7475,2646.8
signal,6728,2382.3
noise,6206,2197.4
set,5947,2105.7
matrix,5767,2042.0
performance,5737,2031.4
number,5593,1980.4
system,5401,1912.4
time,4875,1726.2
function,4802,1700.3
different,4660,1650.0
image,4413,1562.6
problem,4261,1508.7
vector,4086,1446.8
information,3998,1415.6
training,3868,1369.6
features,3850,1363.2
error,3806,1347.6
frequency,3613,1279.3
channel,3589,1270.8
estimation,3581,1268.0
wkh,3484,1233.6
order,3306,1170.6
case,3282,1162.1
recognition,3133,1109.3
feature,3120,1104.7
models,3060,1083.5
rate,3056,1082.1
however,2996,1060.8
parameters,2981,1055.5
obtained,2940,1041.0
since,2929,1037.1
source,2875,1018.0
methods,2760,977.3
signals,2742,970.9
analysis,2714,961.0
linear,2659,941.5
terms,2582,914.2
work,2577,912.5
following,2568,909.3
speaker,2524,893.7
gaussian,2517,891.2
frame,2434,861.8
detection,2428,859.7
estimate,2419,856.5
distribution,2409,853.0
values,2407,852.3
test,2396,848.4
new,2378,842.0
thus,2341,828.9
images,2304,815.8
value,2298,813.7
rst,2293,811.9
figure,2293,811.9
probability,2293,811.9
mean,2291,811.2
power,2270,803.8
systems,2268,803.1
while,2247,795.6
snr,2203,780.0
video,2144,759.2
state,2136,756.3
index,2124,752.1
sequence,2117,749.6
algorithms,2101,743.9
corresponding,2073,734.0
let,2060,729.4
estimated,2042,723.0
coding,2038,721.6
process,2020,715.2
therefore,2016,713.8
high,2003,709.2
average,1990,704.6
acoustic,1974,699.0
optimal,1954,691.9
log,1943,688.0
coef,1925,681.6
parameter,1920,679.8
space,1916,678.4
size,1899,672.4
scheme,1895,671.0
experiments,1895,671.0
target,1895,671.0
example,1884,667.1
ieee,1882,666.4
vectors,1868,661.4
step,1859,658.2
due,1855,656.8
input,1854,656.5
processing,1839,651.2
follows,1827,646.9
note,1797,636.3
well,1789,633.5
solution,1789,633.5
consider,1761,623.5
samples,1728,611.9
distance,1719,608.7
large,1716,607.6
see,1709,605.1
spectral,1708,604.8
result,1698,601.2
similar,1692,599.1
better,1691,598.8
audio,1657,586.7
lter,1648,583.5
random,1647,583.2
transform,1643,581.8
accuracy,1639,580.3
word,1633,578.2
cation,1625,575.4
compared,1623,574.7
classi,1595,564.8
point,1594,564.4
original,1592,563.7
applied,1586,561.6
low,1571,556.3
possible,1562,553.1
because,1561,552.7
correlation,1560,552.4
best,1558,551.7
components,1557,551.3
phase,1546,547.4
network,1542,546.0
local,1541,545.6
output,1529,541.4
sensor,1525,540.0
obtain,1523,539.3
form,1508,534.0
quality,1506,533.2
frames,1494,529.0
length,1483,525.1
maximum,1481,524.4
cients,1479,523.7
ned,1469,520.1
block,1466,519.1
optimization,1458,516.3
small,1450,513.4
without,1442,510.6
multiple,1438,509.2
sources,1436,508.5
design,1430,506.3
level,1428,505.6
words,1425,504.6
energy,1422,503.5
described,1412,500.0
technique,1411,499.6
cient,1391,492.5
complexity,1390,492.2
single,1388,491.5
search,1379,488.3
filter,1373,486.2
many,1368,484.4
independent,1368,484.4
min,1367,484.0
user,1362,482.3
adaptation,1360,481.6
adaptive,1350,478.0
dqg,1349,477.7
domain,1347,476.9
structure,1344,475.9
assume,1339,474.1
presented,1335,472.7
component,1330,470.9
matrices,1326,469.5
cost,1318,466.7
known,1315,465.6
total,1310,463.8
standard,1309,463.5
performed,1307,462.8
experimental,1306,462.4
range,1301,460.7
language,1299,460.0
icassp,1297,459.2
distributed,1294,458.2
propose,1292,457.5
according,1283,454.3
denotes,1280,453.2
likelihood,1280,453.2
functions,1279,452.9
further,1278,452.5
modeling,1276,451.8
conditions,1262,446.9
techniques,1261,446.5
max,1260,446.1
considered,1257,445.1
introduction,1249,442.2
spectrum,1249,442.2
points,1242,439.8
abstract,1237,438.0
previous,1228,434.8
measure,1220,432.0
general,1211,428.8
applications,1210,428.4
available,1201,425.3
covariance,1200,424.9
zero,1196,423.5
variance,1195,423.1
mixture,1190,421.4
evaluation,1189,421.0
even,1187,420.3
higher,1184,419.2
class,1184,419.2
complex,1182,418.5
region,1181,418.2
spatial,1180,417.8
real,1177,416.8
lower,1171,414.6
present,1170,414.3
approaches,1168,413.6
framework,1160,410.7
computed,1158,410.0
representation,1156,409.3
observed,1153,408.3
hence,1140,403.7
channels,1137,402.6
out,1135,401.9
prediction,1130,400.1
reduction,1126,398.7
distortion,1125,398.3
node,1123,397.6
part,1122,397.3
selected,1121,396.9
sample,1117,395.5
bit,1114,394.4
several,1112,393.7
within,1112,393.7
found,1094,387.4
learning,1093,387.0
minimum,1092,386.7
array,1085,384.2
denote,1082,383.1
threshold,1072,379.6
kernel,1071,379.2
sparse,1070,378.9
next,1070,378.9
sequences,1069,378.5
database,1069,378.5
motion,1069,378.5
sampling,1068,378.2
initial,1068,378.2
decoding,1061,375.7
nodes,1061,375.7
