ngram,count,per_million
in this paper we,1582,500.0
the performance of the,734,232.0
in this section we,544,171.9
on the other hand,448,141.6
is the number of,411,129.9
in this work we,381,120.4
as shown in fig,376,118.8
in the case of,373,117.9
this paper we propose,373,117.9
with respect to the,373,117.9
performance of the proposed,320,101.1
paper is organized as,312,98.6
is organized as follows,309,97.7
can be used to,306,96.7
can be written as,301,95.1
of the proposed method,293,92.6
the total number of,290,91.6
it can be seen,281,88.8
as well as the,273,86.3
in the presence of,256,80.9
can be expressed as,249,78.7
in terms of the,238,75.2
is shown in fig,236,74.6
in the context of,233,73.6
we assume that the,226,71.4
the size of the,226,71.4
it is possible to,225,71.1
is based on the,222,70.2
of this paper is,218,68.9
this work was supported,217,68.6
can be found in,215,67.9
can be seen that,214,67.6
the output of the,199,62.9
as function of the,198,62.6
shown in fig the,191,60.4
is assumed to be,183,57.8
of the proposed algorithm,181,57.2
in this paper the,177,55.9
the rest of the,170,53.7
we can see that,170,53.7
the paper is organized,169,53.4
of the number of,168,53.1
the parameters of the,167,52.8
the estimation of the,163,51.5
the effectiveness of the,162,51.2
the length of the,158,49.9
the proposed method is,157,49.6
work was supported by,157,49.6
the fact that the,155,49.0
that the proposed method,154,48.7
organized as follows section,152,48.0
of the paper is,152,48.0
conclusion in this paper,149,47.1
for each of the,149,47.1
where is the number,147,46.5
as the number of,147,46.5
are shown in fig,146,46.1
results show that the,146,46.1
this paper is organized,142,44.9
show that the proposed,141,44.6
e- e- e- e-,140,44.2
and the number of,139,43.9
it is assumed that,139,43.9
in this case the,135,42.7
it can be shown,135,42.7
to the fact that,135,42.7
can be obtained by,134,42.3
the accuracy of the,133,42.0
to the number of,133,42.0
abstract in this paper,132,41.7
the quality of the,131,41.4
db db db db,131,41.4
at the same time,130,41.1
evaluate the performance of,130,41.1
results are shown in,128,40.5
supported in part by,127,40.1
in addition to the,126,39.8
is defined as the,126,39.8
can be shown that,126,39.8
an estimate of the,123,38.9
in the next section,123,38.9
was supported by the,122,38.6
as follows in section,121,38.2
are assumed to be,120,37.9
the set of all,120,37.9
if and only if,119,37.6
it has been shown,118,37.3
in the form of,117,37.0
are shown in table,117,37.0
where and are the,115,36.3
without loss of generality,114,36.0
as shown in figure,113,35.7
this paper we have,112,35.4
the proposed algorithm is,111,35.1
automatic speech recognition asr,111,35.1
be seen that the,110,34.8
when the number of,110,34.8
the difference between the,109,34.4
is due to the,109,34.4
due to the fact,109,34.4
the covariance matrix of,108,34.1
experimental results show that,108,34.1
can be seen as,107,33.8
referred to as the,106,33.5
is given by the,106,33.5
state of the art,105,33.2
is one of the,105,33.2
in the frequency domain,103,32.6
the distribution of the,103,32.6
it is shown that,102,32.2
in the following we,102,32.2
it is clear that,102,32.2
as can be seen,101,31.9
the other hand the,101,31.9
to the best of,101,31.9
one of the most,101,31.9
the variance of the,100,31.6
rest of the paper,100,31.6
we would like to,100,31.6
it is important to,99,31.3
covariance matrix of the,99,31.3
the sum of the,99,31.3
organized as follows in,98,31.0
effectiveness of the proposed,98,31.0
we show that the,97,30.7
can be rewritten as,97,30.7
we focus on the,97,30.7
has been shown to,96,30.3
can be viewed as,96,30.3
the use of the,95,30.0
is referred to as,94,29.7
the effect of the,94,29.7
is the total number,94,29.7
can see that the,94,29.7
in this paper is,94,29.7
is the set of,94,29.7
the best of our,93,29.4
in part by the,93,29.4
this paper we consider,93,29.4
the results of the,92,29.1
can be used for,92,29.1
best of our knowledge,92,29.1
we are interested in,92,29.1
is the same as,92,29.1
this paper we present,91,28.8
the structure of the,91,28.8
the performance of our,91,28.8
is shown in figure,91,28.8
was supported in part,90,28.4
the number of samples,90,28.4
it should be noted,89,28.1
in this study we,89,28.1
on the number of,89,28.1
it is easy to,89,28.1
the state of the,88,27.8
of the proposed approach,88,27.8
can be applied to,87,27.5
in the previous section,87,27.5
the goal is to,87,27.5
should be noted that,86,27.2
used to estimate the,86,27.2
the rest of this,85,26.9
can be represented as,85,26.9
compare the performance of,85,26.9
follows in section we,84,26.5
the dimension of the,84,26.5
to evaluate the performance,84,26.5
has been shown that,83,26.2
is used as the,83,26.2
are presented in section,83,26.2
the position of the,83,26.2
the first and second,82,25.9
the computational complexity of,82,25.9
science foundation of china,81,25.6
can be formulated as,81,25.6
is applied to the,80,25.3
the mean of the,80,25.3
the value of the,80,25.3
for the case of,79,25.0
to this end we,79,25.0
of the covariance matrix,79,25.0
this work is supported,79,25.0
that the number of,79,25.0
we observe that the,78,24.7
the remainder of this,78,24.7
the same number of,78,24.7
the same as the,78,24.7
can be achieved by,77,24.3
proposed in this paper,77,24.3
is illustrated in fig,77,24.3
the distance between the,77,24.3
can be considered as,77,24.3
can be seen in,76,24.0
is used for the,76,24.0
the number of measurements,76,24.0
this paper is to,75,23.7
the computation of the,75,23.7
deep neural network dnn,75,23.7
for the estimation of,75,23.7
in the time domain,74,23.4
improve the performance of,74,23.4
that the proposed algorithm,74,23.4
the results show that,74,23.4
rest of this paper,73,23.1
is equivalent to the,73,23.1
is assumed that the,73,23.1
with zero mean and,73,23.1
it can be observed,73,23.1
the proposed method can,73,23.1
is similar to the,72,22.8
natural science foundation of,72,22.8
in other words the,72,22.8
with the number of,72,22.8
our goal is to,72,22.8
the assumption that the,71,22.4
in this work the,71,22.4
as described in section,71,22.4
work is supported by,71,22.4
the case of the,71,22.4
as shown in table,70,22.1
block diagram of the,70,22.1
remainder of this paper,70,22.1
the complexity of the,70,22.1
in order to obtain,70,22.1
work was supported in,70,22.1
the ratio of the,69,21.8
for the sake of,69,21.8
have been proposed to,69,21.8
gaussian mixture model gmm,69,21.8
than that of the,69,21.8
relation to prior work,68,21.5
is equal to the,68,21.5
the center of the,68,21.5
in this section the,68,21.5
it is necessary to,68,21.5
in contrast to the,67,21.2
as illustrated in fig,67,21.2
national natural science foundation,67,21.2
in the training set,67,21.2
we see that the,67,21.2
have been proposed in,67,21.2
in the training data,67,21.2
can be interpreted as,66,20.9
conclusions in this paper,66,20.9
the number of the,66,20.9
this is due to,66,20.9
the magnitude of the,65,20.5
and is the number,65,20.5
in the sense that,65,20.5
it is known that,65,20.5
the left and right,65,20.5
we propose to use,65,20.5
statistical parametric speech synthesis,65,20.5
as shown in the,64,20.2
the remainder of the,64,20.2
of the training data,64,20.2
to that of the,64,20.2
the robustness of the,64,20.2
presented in this paper,63,19.9
shown in figure the,63,19.9
the following optimization problem,63,19.9
in the same way,63,19.9
to improve the performance,63,19.9
in order to reduce,62,19.6
that the performance of,62,19.6
results are presented in,62,19.6
denotes the number of,62,19.6
can be seen from,62,19.6
results in this section,62,19.6
does not depend on,61,19.3
fig block diagram of,61,19.3
this work we propose,61,19.3
in our experiments we,61,19.3
reduce the number of,61,19.3
at the end of,61,19.3
is the identity matrix,60,19.0
can be regarded as,60,19.0
shown in fig and,60,19.0
word error rate wer,60,19.0
the number of parameters,60,19.0
it is worth noting,60,19.0
section concludes the paper,60,19.0
in the number of,60,19.0
is supported by the,59,18.6
are based on the,59,18.6
the location of the,59,18.6
as where is the,59,18.6
we are able to,59,18.6
the results are shown,59,18.6
supported by the national,59,18.6
we note that the,59,18.6
been shown to be,59,18.6
the elements of the,59,18.6
which is defined as,59,18.6
paper we propose novel,59,18.6
on the basis of,59,18.6
this section we present,59,18.6
it is observed that,59,18.6
are shown in figure,59,18.6
it was shown that,58,18.3
is worth noting that,58,18.3
loss of generality we,58,18.3
can be approximated by,58,18.3
processing vol no pp,58,18.3
would like to thank,58,18.3
the solution of the,58,18.3
have been proposed for,57,18.0
of the received signal,57,18.0
of with respect to,57,18.0
independent and identically distributed,57,18.0
the case where the,57,18.0
abstract this paper presents,57,18.0
for the purpose of,57,18.0
is related to the,56,17.7
to be able to,56,17.7
at the cost of,56,17.7
of the input signal,56,17.7
we have shown that,56,17.7
the proposed approach is,56,17.7
in order to evaluate,56,17.7
at the output of,56,17.7
zero mean and unit,56,17.7
in the field of,56,17.7
this paper we focus,56,17.7
