phrase,count,per_million
in this paper,1515,714.47
in this work,481,226.84
state-of-the-art,370,174.49
but also,278,131.1
on the other hand,273,128.75
not only,263,124.03
a variety of,142,66.97
experimental results show,133,62.72
in other words,84,39.61
in recent years,68,32.07
a wide range of,58,27.35
due to the fact that,47,22.17
it should be noted,44,20.75
plays an important role,36,16.98
to the best of our knowledge,36,16.98
the rest of this paper,29,13.68
remainder of this paper,27,12.73
experimental results demonstrate,26,12.26
more and more,22,10.38
it is worth noting,21,9.9
it is important to note,17,8.02
plays a crucial role,8,3.77
paving the way,3,1.41
sheds light on,2,0.94
ever-evolving,1,0.47
plays a vital role,0,0.0
in the realm of,0,0.0
has garnered,0,0.0
a plethora of,0,0.0
myriad,0,0.0
rapidly evolving,0,0.0
