heading,count
INTRODUCTION,270
CONCLUSIONS,75
ACKNOWLEDGEMENTS,64
RESULTS,62
EXPERIMENTS,60
CONCLUSION,46
DISCUSSION,39
METHOD,31
METHODS,29
EXPERIMENTAL SETUP,19
EXPERIMENTS AND RESULTS,15
EXPERIMENTAL RESULTS,14
RESULTS AND DISCUSSION,13
CONCLUSIONS AND FUTURE WORK,13
RELATED WORK,12
METHODOLOGY,11
ACKNOWLEDGMENTS,10
DATA,9
EXPERIMENT,8
DISCUSSION AND CONCLUSIONS,8
BACKGROUND,6
EVALUATION,6
ACKNOWLEDGEMENT,6
SYSTEM DESCRIPTION,6
CONCLUSION AND FUTURE WORK,5
SYSTEM,5
ACKNOWLEDGMENT,5
CORPUS,4
MATERIALS,3
FEATURE EXTRACTION,3
PROPOSED SYSTEM,3
FEATURES,3
DISCUSSION AND CONCLUSION,2
EXPERIMENTAL DETAILS,2
APPROACH,2
DATA COLLECTION,2
TASK DESCRIPTION,2
DATABASE,2
PROPOSED METHOD,2
EXPERIMENTAL SETUP AND RESULTS,2
NETWORK ARCHITECTURE,2
MATERIAL AND METHODS,2
EXPERIMENTAL EVALUATIONS,2
SUMMARY,2
EXPERIMENTS AND DISCUSSION,2
PROPOSED APPROACH,2
ANALYSIS,2
EXPERIMENTS AND RESULT ANALYSIS,2
MATERIAL,2
ARCHITECTURE,2
CONVENTIONAL SEPARATION METHODS,1
PROPOSED PHASE ESTIMATION FOR SCSS,1
CHALLENGE CORPORA,1
CHALLENGE BASELINES,1
COMMUNICATION CHANNELS,1
HUMAN SPEAKER IDENTIFICATION TESTS,1
INSTRUMENTAL QUALITY MEASUREMENTS,1
THE NORMALIZED COVARIANCE METRIC,1
DEFINE OUTPUT SIGNAL-TO-NOISE-RATIO WITH,1
SPEECH INTELLIGIBILITY DATA,1
PROPOSED A PRIORI SNR ESTIMATION,1
GENERAL DISCUSSION AND CONCLUSION,1
RAW WAVEFORM CLDNN ARCHITECTURE,1
ANALYSIS OF PERCEPTUAL RATINGS,1
PRELIMINARIES: RL-DNNS,1
RL-DNN WITH TIED-SCALAR,1
I-VECTOR EXTRACTORS WITH NON-STANDARD,1
LIKELIHOOD RATIO CALCULATIONS IN THE,1
WORD-PHRASE-ENTITY LANGUAGE MODELS,1
ADDING PERSONALIZATION,1
THE PROPOSED FRAMEWORK,1
LOW-LEVEL SLOT IMPORTANCE ESTIMATION,1
MARKOV LOGIC NETWORKS,1
ACOUSTIC REPRESENTATION,1
DATASETS,1
RESEARCH QUESTION,1
LANGUAGES AND RESOURCES,1
OBJECTIVE EVALUATION,1
SUBJECTIVE EVALUATION,1
SCATTERING TRANSFORM,1
MULTI-DNN SYSTEM,1
A STRUCTURE OVERVIEW OF ARSN,1
TRAINING OBJECTIVE,1
OPTIMIZATION,1
PROBLEM FORMULATION,1
SEQUENTIAL SCHEME,1
OUR APPROACH,1
CONCLUSION AND DISCUSSION,1
KEYWORD SPOTTING TASK,1
CNN ARCHITECTURES,1
STRUCTURED PREDICTION,1
HIGHER-ORDER CONDITIONAL RANDOM,1
MODEL,1
WORKLOAD,1
APPROACH VALIDATION,1
LANGUAGE MODEL EXPERIMENT,1
MOTIVATIONAL INTERVIEWING DATA,1
SPEAKING UNDER FACE COVER,1
CORPUS DESCRIPTION,1
SPEAKER AND MASK RECOGNITION,1
RELATION TO PREVIOUS WORK,1
RNNS FOR SPSS,1
NON-STATIONARY NOISE DATA BASE,1
COMBINING SAMPLE-BASED SPECTRUM WITH,1
EVALUATION EXPERIMENTS,1
SUMMARY AND OUTLOOK,1
APPENDIX,1
THE EVALUATION FUNCTION,1
THE PROPOSED APPROACH,1
PROTOTYPE PERSONALIZED RECOGNIZERS AND,1
TASKS,1
EVALUATION PROCEDURE,1
TASK AND SYSTEM OVERVIEW,1
SEMANTIC SIMILARITY FEATURE LEARNING,1
EVALUATION RESULTS,1
KEYWORD-AWARE LANGUAGE MODELING FOR,1
EXPERIMENTAL RESULTS AND DISCUSSION,1
ACKNOLEDGEMENTS,1
EFFICIENT INTEGRATION OF TRANSLATION AND,1
RELATED WORKS,1
BASELINE ASR SYSTEM,1
ASR ERROR DETECTION METHODS,1
TRAINING OF DEEP MODELS,1
TRANSFORMATION BASED ADAPTATION FOR,1
MAP ADAPTATION FOR DEEP MODELS,1
RELATED WORK ON PUNCTUATION INSERTION,1
PLDA MODELING,1
SNR-INVARIANT PLDA MODELING,1
EVALUATION SETUP,1
LANGUAGE MODELING FOR SUMMARIZATION,1
POSITIONAL LANGUAGE MODELING,1
MODULATION DOMAIN PROCESSING,1
REGRESSION TECHNIQUES,1
GRAPH CONSTRUCTION,1
GRAPH CLUSTERING METHODS,1
DATABASE AND RECORDING PROCEDURES,1
ACOUSTIC ANALYSIS,1
PERCEPTUAL EXPERIMENT,1
RANK CONSTRAINED NEURAL NETWORK,1
BASLINE STD ENGINE AND ASR,1
TWO-STEP STD,1
NOISE ROBUST EXEMPLAR MATCHING,1
MANIFOLD LEARNING ALGORITHM,1
SPEECH DENOISING EXPERIMENT,1
DISCRIMINATIVE LANGUAGE MODEL,1
DISCRIMINATIVE BILINEAR LANGUAGE MODEL,1
THE NTU APPROACH,1
REVIEW OF CE-DNN AND,1
REGULARIZED SEQUENCE-LEVEL ADAPTATION,1
