ngram,count,per_million
in this paper we,1206,446.3
search hub toc for,819,303.1
hub toc for this,819,303.1
toc for this manuscript,819,303.1
for this manuscript interspeech,801,296.4
this manuscript interspeech abstract,801,296.4
manuscript interspeech abstract cards,801,296.4
http dx doi org,782,289.4
dx doi org interspeech,775,286.8
interspeech abstract cards page,760,281.2
in this work we,401,148.4
abstract cards page view,399,147.7
cards page view manuscript,399,147.7
the performance of the,391,144.7
on the other hand,336,124.3
copyright isca http dx,325,120.3
isca http dx doi,325,120.3
automatic speech recognition asr,322,119.2
interspeech detailed author index,310,114.7
in the case of,291,107.7
deep neural network dnn,273,101.0
this paper we propose,268,99.2
in the context of,257,95.1
as well as the,231,85.5
is the number of,226,83.6
detailed author index page,219,81.0
can be used to,214,79.2
the total number of,213,78.8
as shown in figure,210,77.7
with respect to the,205,75.9
in this study we,201,74.4
results show that the,192,71.0
in this section we,192,71.0
the output of the,182,67.3
are shown in table,177,65.5
the results of the,174,64.4
university of southern california,163,60.3
paper is organized as,162,59.9
is organized as follows,160,59.2
search interspeech detailed author,159,58.8
interspeech table of contents,157,58.1
table of contents page,157,58.1
on the development set,153,56.6
it can be seen,153,56.6
of southern california usa,151,55.9
for each of the,149,55.1
of the proposed method,148,54.8
the proposed method is,144,53.3
show that the proposed,143,52.9
that the proposed method,139,51.4
in addition to the,136,50.3
in terms of the,136,50.3
deep neural networks dnns,135,50.0
is shown in figure,135,50.0
it is possible to,133,49.2
of the vocal tract,129,47.7
the size of the,128,47.4
experimental results show that,127,47.0
can be seen that,127,47.0
the quality of the,124,45.9
on the basis of,122,45.1
is based on the,121,44.8
the rest of the,121,44.8
can be found in,118,43.7
gaussian mixture model gmm,117,43.3
on the test set,116,42.9
the results show that,115,42.6
of this paper is,115,42.6
shown in figure the,115,42.6
word error rate wer,112,41.4
we can see that,112,41.4
performance of the proposed,109,40.3
improve the performance of,109,40.3
in this paper the,106,39.2
and the number of,105,38.9
page fri-p- page fri-p-,102,37.7
statistical parametric speech synthesis,101,37.4
have been shown to,101,37.4
this work was supported,100,37.0
the end of the,98,36.3
of the speech signal,98,36.3
page sun-p- page sun-p-,98,36.3
the effectiveness of the,98,36.3
university of texas at,97,35.9
at the same time,97,35.9
the difference between the,97,35.9
chinese academy of sciences,96,35.5
as shown in table,96,35.5
the length of the,95,35.2
hidden markov model hmm,95,35.2
the parameters of the,95,35.2
amount of training data,95,35.2
of the training data,94,34.8
results are shown in,94,34.8
has been shown to,94,34.8
page view manuscript speech,94,34.8
of texas at dallas,93,34.4
university of edinburgh uk,93,34.4
would like to thank,92,34.0
in the present study,92,34.0
long short-term memory lstm,92,34.0
to improve the performance,92,34.0
the fact that the,92,34.0
acknowledgements this work was,92,34.0
this paper we investigate,91,33.7
this paper we present,91,33.7
page fri-o- page fri-o-,91,33.7
as described in section,91,33.7
in the presence of,90,33.3
used to train the,90,33.3
academy of sciences china,89,32.9
the duration of the,89,32.9
of the number of,88,32.6
is one of the,87,32.2
recurrent neural network rnn,87,32.2
page sun-o- page sun-o-,87,32.2
page view manuscript special,87,32.2
view manuscript special session,87,32.2
of the target speaker,86,31.8
university of she eld,86,31.8
of she eld uk,86,31.8
to the fact that,86,31.8
work was supported by,86,31.8
texas at dallas usa,85,31.5
state of the art,85,31.5
the in uence of,85,31.5
as the number of,85,31.5
at the end of,85,31.5
can be seen in,85,31.5
we would like to,83,30.7
