structure,count
INTRODUCTION > METHOD > RESULTS,7
INTRODUCTION > METHODS > RESULTS,6
INTRODUCTION > METHOD > RESULTS > DISCUSSION > CONCLUSIONS > ACKNOWLEDGEMENTS,6
INTRODUCTION > METHOD > RESULTS > DISCUSSION > ACKNOWLEDGEMENTS,6
INTRODUCTION > METHOD > RESULTS > DISCUSSION,6
INTRODUCTION > METHODS > RESULTS > DISCUSSION,4
INTRODUCTION > METHODS > RESULTS > DISCUSSION > CONCLUSIONS > ACKNOWLEDGEMENTS,4
INTRODUCTION > EXPERIMENT 1 > EXPERIMENT 2,3
INTRODUCTION > METHOD > RESULTS > DISCUSSION AND CONCLUSION,3
INTRODUCTION > METHOD > RESULTS > CONCLUSIONS > ACKNOWLEDGEMENTS,3
INTRODUCTION > METHODOLOGY > RESULTS > DISCUSSION,2
INTRODUCTION > METHODS > RESULTS AND DISCUSSION > CONCLUSIONS > ACKNOWLEDGEMENTS,2
INTRODUCTION > METHOD > RESULTS > DISCUSSION > CONCLUSION > ACKNOWLEDGEMENTS,2
INTRODUCTION > METHODS > RESULTS > DISCUSSION > CONCLUSION > ACKNOWLEDGEMENTS,2
INTRODUCTION > METHODOLOGY > RESULTS > CONCLUSIONS > ACKNOWLEDGEMENTS,2
INTRODUCTION > RESEARCH METHODOLOGY > EXPERIMENTAL SETUP AND RESULTS > CONCLUSIONS,2
INTRODUCTION > METHODOLOGY > RESULTS > DISCUSSION > CONCLUSIONS > ACKNOWLEDGEMENTS,2
INTRODUCTION > METHODOLOGY > RESULTS > DISCUSSION > ACKNOWLEDGEMENTS,2
INTRODUCTION > METHODS > RESULTS > DISCUSSION > ACKNOWLEDGEMENTS > ENDNOTE,1
INTRODUCTION > MOTIVATION > PREPROCESSING PROCEDURE,1
INTRODUCTION > METHOD > RESULTS > DISCUSSION AND SUMMARY > ACKNOWLEDGEMENTS,1
INTRODUCTION > MULTILINGUAL ARCHITECTURE > EXPERIMENTS > CONCLUSIONS > ACKNOWLEDGMENTS,1
INTRODUCTION > AUDIO BASED GEOTAGGING > EXPERIMENTS AND RESULTS > DISCUSSIONS AND CONCLUSIONS,1
INTRODUCTION > CHALLENGE CORPORA > EXPERIMENTS AND RESULTS > CONCLUSION > ACKNOWLEDGEMENTS,1
INTRODUCTION > BACKGROUND > MATERIALS AND METHODS > RESULTS,1
INTRODUCTION > SPEAKER RECOGNITION IN MISMATCHED > PROPOSED UNSUPERVISED DOMAIN > EXPERIMENTS AND RESULTS > CONCLUSIONS > ACKNOWLEDGEMENT,1
INTRODUCTION > SPEAKER DIARIZATION SYSTEM > STATISTICS REFINEMENT > DISCUSSION > EXPERIMENTS > CONCLUSIONS > ACKNOWLEDGEMENTS,1
INTRODUCTION > SEGMENTAL CONDITIONAL RANDOM FIELDS > CONNECTIONIST TEMPORAL CLASSIFICATION,1
INTRODUCTION > EXPERIMENT 1 > EXPERIMENT 2 > DISCUSSION > CONCLUSIONS > ACKNOWLEDGEMENTS,1
INTRODUCTION > THE PROPOSED SPEECH ENHANCEMENT > EXPERIMENTS AND RESULTS,1
INTRODUCTION > EXPERIMENT > RESULTS > DISCUSSION,1
INTRODUCTION > BASELINE DIARIZATION SYSTEM > PLDA DOMAIN ADAPTATION WITH > EXPERIMENTS > CONCLUSIONS,1
INTRODUCTION > DATABASE > AUTOMATIC SPEECH RECOGNITION SYSTEM,1
INTRODUCTION > DATASETS > METHODOLOGY > RESULTS AND DISCUSSION > CONCLUSION,1
INTRODUCTION > METHODS > RESULTS > DISCUSSION > CONCLUSIONS,1
INTRODUCTION > METHOD > RESULTS > DISCUSSIONS AND CONCLUSIONS > ACKNOWLEDGEMENT,1
INTRODUCTION > DATA AND FEATURE SELECTION > ASV SPEAKER VARIABILITY ANALYSIS > ASV SHORT-UTTERANCE EVALUATION,1
INTRODUCTION > MULTILINGUAL LINGUISTIC FEATURES > SYSTEM ARCHITECTURE > EXPERIMENTS > CONCLUSIONS > ACKNOWLEDGMENTS,1
INTRODUCTION > EVOLUTIONARY FEATURE SELECTION > EXPERIMENTS AND RESULTS > CONCLUSION > ACKNOWLEDGEMENTS,1
DATA > ANALYSIS > MODELING,1
INTRODUCTION > METHODS > RESULTS > DISCUSSION > ACKNOWLEDGMENTS,1
INTRODUCTION > METHODOLOGY > RESULTS AND DISCUSSION > CONCLUSION > ACKNOWLEDGMENTS,1
INTRODUCTION > SYSTEM COMPONENTS > EVALUATION SYSTEMS > RESULTS,1
INTRODUCTION > DATA > ANALYSIS > RESULTS > CONCLUSIONS > ACKNOWLEDGMENTS,1
INTRODUCTION > PROBLEM FORMULATION AND NOTATION > THE PROPOSED CONTRAST FUNCTION > THE PROPOSED ALGORITHM > EXPERIMENTAL RESULTS > CONCLUSIONS,1
INTRODUCTION > PROBLEM FORMULATION > WSCM-MUSIC APPROACH > EXPERIMENT AND ANALYSIS > CONCLUSIONS > ACKNOWLEDGEMENT,1
INTRODUCTION > PHONOLOGICAL PHRASING > PHRASE SEQUENCE MODELLING AND > RESULTS > CONCLUSIONS > ACKNOWLEDGEMENTS,1
INTRODUCTION > LEXICAL DECISION EXPERIMENT > DISCUSSION,1
INTRODUCTION > MPAI BACKGROUND > MPAI EVALUATION > IMPROVEMENTS TO MPAI > DISCUSSION AND CONCLUSION > ACKNOWLEDGEMENTS,1
INTRODUCTION > DATABASES > METHODS > RESULTS > CONCLUSIONS AND FUTURE WORK > ACKNOWLEDGEMENTS,1
INTRODUCTION > MOTIVATIONAL INTERVIEWING DATA > METHODOLOGY > EXPERIMENTS AND RESULTS > CONCLUSIONS AND FUTURE WORK > ACKNOWLEDGMENTS,1
INTRODUCTION > CONVENTIONAL TVM FORMULATION > DISTRIBUTION FREE FORMULATION > CONNECTIONS TO HETEROSCEDASTIC PCA AND > OPTIMIZATION ALGORITHM > EXPERIMENTAL RESULTS > CONCLUSION AND FUTURE WORK,1
INTRODUCTION > DISCRIMINATIVE AUTOENCODERS AND > EXPERIMENTS > CONCLUSIONS > ACKNOWLEDGEMENTS,1
INTRODUCTION AND PRIOR WORK > TOTAL VARIABILITY MODEL > FEATURE AND NETWORK DESCRIPTION > EXPERIMENTAL RESULTS > CONCLUSIONS AND FUTURE RESEARCH,1
INTRODUCTION > THE INTERPOLATED OBJECTIVE FUNCTION > EXPERIMENTAL DETAILS > RESULTS > CONCLUSIONS,1
INTRODUCTION > ATTENTION MODELS > EXPERIMENTAL DETAILS > RESULTS > CONCLUSIONS,1
INTRODUCTION > SEQUENCE-TO-SEQUENCE MODELS > EXPERIMENTAL DETAILS > RESULTS > CONCLUSIONS > ACKNOWLEDGEMENTS,1
INTRODUCTION > SYSTEM OVERVIEW > DEREVERBERATION,1
INTRODUCTION > DATASET ACQUISITION > TOOL FOR LIP FEATURE EXTRACTION > POTENTIAL UTILITY OF PRAV CORPUS > CONCLUSIONS AND FUTURE WORK > ACKNOWLEDGEMENT,1
INTRODUCTION > MODEL DESCRIPTION > EXPERIMENTS > DISCUSSION > CONCLUSION,1
INTRODUCTION > DATA AND TASK > SPEECH RECOGNIZERS FOR CHILDREN > LANGUAGE PROFICIENCY ASSESSMENT > CONCLUSIONS,1
INTRODUCTION > PRIOR WORKS > EXTRACTION OF SFFCC FEATURES,1
INTRODUCTION > TOTAL VARIABILITY MODEL > ANALYSES OF SHORT DURATION UTTERANCES > PROPOSED METHOD,1
INTRODUCTION > RELATED WORKS > MEASURING VOWEL LENGTH CONTRAST,1
INTRODUCTION > MULTI-STREAM > PROPOSED METHOD > EXPERIMENTS > CONCLUSION,1
INTRODUCTION > DIARIZATION FRAMEWORK > TRIPLET RANKING FRAMEWORK,1
INTRODUCTION > EXPERIMENT > RESULTS,1
INTRODUCTION > NEURAL NETWORK ARCHITECTURE > EXPERIMENTAL SETUP,1
INTRODUCTION > EXPERIMENT > DISCUSSION,1
INTRODUCTION > METHOD > RESULTS > DISCUSSION > CONCLUDING REMARKS,1
INTRODUCTION > UNSUPERVISED ACOUSTIC MODELING > DISTANCE BETWEEN SPEECH CLASSES AND > EXPERIMENTAL DESIGN,1
INTRODUCTION > PROBLEM SETUP > PERMUTATION INVARIANT TRAINING > EXPERIMENTAL RESULTS > CONCLUSION,1
INTRODUCTION > SPEECH SYNTHESIS METHOD > EXPERIMENT > RESULTS > DISCUSSION > LIMITATIONS AND FUTURE WORK,1
INTRODUCTION > METHODS > RESULTS > DISCUSSIONS > ACKNOWLEDGMENTS,1
INTRODUCTION > BAYESIAN MIXTURE MODELS > EXPERIMENTS > RESULTS > DISCUSSION AND CONCLUSIONS > ACKNOWLEDGEMENTS,1
INTRODUCTION > MATERIAL > RESULTS > DISCUSSION,1
INTRODUCTION > THE TIME-WARPING PITCH TRACKING > EVALUATION > CONCLUSIONS AND OUTLOOK,1
INTRODUCTION > FRISIAN LANGUAGE > FRISIAN-DUTCH RADIO BROADCAST DATABASE,1
INTRODUCTION > HIERARCHICAL RECURRENT NEURAL NETWORK > EXPERIMENTS,1
INTRODUCTION > PROPOSED INTELLIGENT CROWDSOURCING > EXPERIMENTS > RESULTS,1
INTRODUCTION > FRONT-END FACTOR ANALYSIS > SYSTEM ARCHITECTURE > EXPERIMENTS AND RESULTS > CONCLUSION,1
INTRODUCTION > EMOTIONAL SPEECH DATA COLLECTION > AUTOMATIC EMOTION RECOGNITION > RESULTS,1
INTRODUCTION > IMPLEMENTATION > EVALUATION > RESULTS > DISCUSSION,1
INTRODUCTION > DATASETS > EXPERIMENTS > RESULTS > CONCLUSION > ACKNOWLEDGEMENTS,1
INTRODUCTION > PRIOR AND RELATED WORK > PROPOSED ARCHITECTURE > EXPERIMENT > RESULTS > CONCLUSIONS,1
INTRODUCTION > PROPOSED SYSTEM > EXPERIMENTS > CONCLUSIONS > ACKNOWLEDGEMENTS,1
INTRODUCTION > STATISTICAL FRAMEWORK > SUPERVISED DOMAIN ADAPTATION > UNSUPERVISED BAYESIAN ADAPTATION > EXPERIMENTAL RESULTS > CONCLUSIONS,1
INTRODUCTION > DATABASES > EXPERIMENTS > CONCLUSIONS > ACKNOWLEDGEMENTS,1
INTRODUCTION > AUTOMATED ASSESSMENT SYSTEM > EXPERIMENTS > CONCLUSIONS,1
INTRODUCTION > DETECTION OF SOCIAL SIGNALS > BIDIRECTIONAL LSTM-CTC > CORPUS,1
