word,count,per_million
speech,17350,7729.4
data,9392,4184.1
training,8830,3933.7
features,7747,3451.3
system,6322,2816.4
set,6052,2696.2
speaker,5988,2667.6
performance,5572,2482.3
models,5006,2230.2
different,4881,2174.5
figure,4794,2135.7
network,4643,2068.4
feature,4569,2035.5
acoustic,4263,1899.2
layer,4045,1802.0
recognition,3844,1712.5
language,3754,1672.4
information,3688,1643.0
test,3672,1635.9
time,3648,1625.2
learning,3626,1615.4
trained,3612,1609.1
word,3578,1594.0
number,3554,1583.3
input,3553,1582.9
speakers,3416,1521.8
systems,3396,1512.9
signal,3309,1474.2
neural,3100,1381.0
work,3061,1363.7
noise,3046,1357.0
output,2973,1324.5
task,2944,1311.5
words,2925,1303.1
asr,2868,1277.7
baseline,2706,1205.5
layers,2643,1177.5
audio,2581,1149.8
target,2560,1140.5
experiments,2546,1134.2
rate,2479,1104.4
utterances,2426,1080.8
frequency,2426,1080.8
parameters,2418,1077.2
better,2396,1067.4
dnn,2395,1067.0
however,2383,1061.6
function,2359,1050.9
dataset,2359,1050.9
corpus,2358,1050.5
while,2354,1048.7
lstm,2261,1007.3
classification,2229,993.0
methods,2209,984.1
voice,2170,966.7
evaluation,2153,959.2
sequence,2100,935.5
vector,2077,925.3
error,2030,904.4
accuracy,2027,903.0
utterance,2025,902.1
best,2011,895.9
obtained,1975,879.9
deep,1973,879.0
analysis,1950,868.7
mean,1943,865.6
compared,1938,863.4
hidden,1885,839.8
detection,1858,827.7
networks,1812,807.2
frame,1807,805.0
similar,1799,801.5
loss,1772,789.4
size,1763,785.4
average,1760,784.1
source,1756,782.3
representation,1731,771.2
train,1714,763.6
terms,1712,762.7
context,1705,759.6
study,1680,748.4
well,1674,745.8
english,1673,745.3
adaptation,1662,740.4
level,1633,727.5
order,1630,726.2
frames,1627,724.8
further,1595,710.6
attention,1572,700.3
quality,1545,688.3
since,1515,674.9
values,1508,671.8
domain,1494,665.6
spectral,1492,664.7
languages,1481,659.8
wer,1441,642.0
tasks,1421,633.1
development,1416,630.8
duration,1410,628.2
high,1401,624.1
applied,1401,624.1
architecture,1396,621.9
labels,1394,621.0
following,1391,619.7
cnn,1389,618.8
corresponding,1388,618.4
temporal,1381,615.2
previous,1379,614.3
score,1371,610.8
standard,1370,610.3
distribution,1366,608.5
algorithm,1354,603.2
total,1348,600.5
without,1347,600.1
samples,1347,600.1
text,1343,598.3
conditions,1331,593.0
length,1326,590.7
linear,1324,589.8
single,1313,584.9
phase,1311,584.0
due,1305,581.4
found,1301,579.6
embeddings,1285,572.5
framework,1273,567.1
pitch,1260,561.3
across,1255,559.1
sets,1253,558.2
new,1252,557.8
emotion,1249,556.4
research,1247,555.5
embedding,1247,555.5
significant,1238,551.5
processing,1238,551.5
signals,1237,551.1
effect,1234,549.7
vectors,1233,549.3
segments,1220,543.5
modeling,1216,541.7
higher,1214,540.8
noisy,1206,537.3
matrix,1203,535.9
units,1200,534.6
case,1199,534.2
scores,1196,532.8
thus,1194,531.9
value,1193,531.5
experimental,1191,530.6
approaches,1178,524.8
automatic,1175,523.5
because,1174,523.0
problem,1165,519.0
process,1155,514.5
extracted,1155,514.5
database,1149,511.9
improvement,1146,510.5
therefore,1136,506.1
large,1129,503.0
clean,1125,501.2
state,1124,500.7
example,1123,500.3
described,1123,500.3
sentences,1121,499.4
convolutional,1107,493.2
vowel,1106,492.7
improve,1100,490.0
phoneme,1100,490.0
performed,1096,488.3
index,1092,486.5
lower,1081,481.6
prediction,1081,481.6
present,1075,478.9
low,1073,478.0
step,1071,477.1
original,1070,476.7
comparison,1057,470.9
class,1053,469.1
result,1052,468.7
recordings,1050,467.8
human,1044,465.1
experiment,1038,462.4
see,1035,461.1
objective,1034,460.6
available,1034,460.6
log,1032,459.8
part,1031,459.3
label,1026,457.1
presented,1021,454.9
estimated,1019,454.0
observed,1018,453.5
computed,1002,446.4
sentence,995,443.3
four,993,442.4
relative,992,441.9
estimation,992,441.9
various,990,441.0
multiple,987,439.7
dimensional,983,437.9
probability,982,437.5
range,977,435.3
several,969,431.7
types,969,431.7
filter,962,428.6
extraction,961,428.1
mfcc,955,425.5
many,954,425.0
small,953,424.6
classifier,953,424.6
rnn,952,424.1
follows,949,422.8
generated,946,421.4
difference,942,419.7
significantly,941,419.2
long,935,416.5
distance,931,414.8
i-vector,929,413.9
future,927,413.0
like,926,412.5
even,924,411.6
representations,924,411.6
recurrent,922,410.7
out,921,410.3
