ngram,count,per_million
of the,25418,7739.8
in the,15363,4678.1
to the,10682,3252.7
on the,8934,2720.4
and the,8189,2493.6
for the,8039,2447.9
from the,6337,1929.6
with the,6206,1889.7
that the,5038,1534.1
the model,4932,1501.8
can be,4770,1452.5
in this,4695,1429.6
as the,4472,1361.7
number of,4246,1292.9
is the,4220,1285.0
the same,3844,1170.5
by the,3779,1150.7
based on,3763,1145.8
the proposed,3558,1083.4
we use,3191,971.7
such as,3082,938.5
it is,2906,884.9
using the,2743,835.2
for each,2719,827.9
the performance,2710,825.2
to be,2686,817.9
the training,2537,772.5
shown in,2480,755.2
the number,2408,733.2
which is,2401,731.1
in table,2320,706.4
this paper,2300,700.4
performance of,2275,692.7
the results,2269,690.9
between the,2217,675.1
compared to,2157,656.8
the first,2045,622.7
due to,2044,622.4
used to,2042,621.8
the speech,2026,616.9
the target,2017,614.2
the input,2009,611.7
wav vec,1980,602.9
speech recognition,1931,588.0
of speech,1920,584.6
of our,1903,579.5
we propose,1830,557.2
model is,1817,553.3
in figure,1816,553.0
at the,1801,548.4
the best,1743,530.7
this work,1742,530.4
is used,1574,479.3
we also,1574,479.3
use the,1533,466.8
the original,1503,457.7
training data,1502,457.4
the output,1485,452.2
consists of,1473,448.5
has been,1457,443.7
our proposed,1450,441.5
the speaker,1448,440.9
trained on,1437,437.6
used for,1413,430.3
set of,1405,427.8
as shown,1395,424.8
model to,1387,422.3
we used,1387,422.3
than the,1387,422.3
et al,1384,421.4
used in,1373,418.1
in section,1372,417.8
proposed method,1370,417.2
show that,1370,417.2
test set,1361,414.4
have been,1329,404.7
speech and,1316,400.7
of each,1309,398.6
the baseline,1301,396.2
size of,1295,394.3
this is,1290,392.8
the audio,1281,390.1
is to,1269,386.4
in our,1266,385.5
is not,1263,384.6
of and,1261,384.0
in addition,1260,383.7
the data,1255,382.1
the two,1216,370.3
the other,1209,368.1
results of,1184,360.5
we can,1176,358.1
where the,1168,355.7
in terms,1161,353.5
terms of,1159,352.9
the encoder,1151,350.5
all the,1150,350.2
the following,1147,349.3
as well,1138,346.5
the asr,1132,344.7
to improve,1131,344.4
this study,1114,339.2
index terms,1102,335.6
training and,1101,335.3
shows the,1093,332.8
the most,1092,332.5
paper we,1086,330.7
model with,1079,328.6
set to,1076,327.6
to generate,1074,327.0
improve the,1073,326.7
of this,1052,320.3
while the,1038,316.1
and is,1031,313.9
the test,1022,311.2
model and,1003,305.4
our model,1001,304.8
asr model,995,303.0
into the,986,300.2
does not,986,300.2
use of,984,299.6
as follows,982,299.0
results in,980,298.4
well as,978,297.8
in fig,976,297.2
learning rate,975,296.9
work we,964,293.5
the final,961,292.6
when the,957,291.4
to obtain,955,290.8
for all,942,286.8
hours of,940,286.2
is trained,938,285.6
to train,936,285.0
note that,932,283.8
model the,926,282.0
error rate,923,281.1
used as,918,279.5
for training,914,278.3
there is,910,277.1
neural network,905,275.6
similar to,904,275.3
the acoustic,900,274.1
figure the,892,271.6
in order,891,271.3
amount of,889,270.7
are the,883,268.9
order to,882,268.6
trained with,882,268.6
over the,880,268.0
do not,880,268.0
and then,874,266.1
there are,873,265.8
evaluate the,866,263.7
the effectiveness,866,263.7
effectiveness of,865,263.4
models are,863,262.8
model for,862,262.5
the second,856,260.7
are used,852,259.4
for example,850,258.8
that our,844,257.0
our method,843,256.7
during training,838,255.2
both the,834,254.0
of these,833,253.6
of different,832,253.3
effect of,830,252.7
experimental results,828,252.1
that is,827,251.8
with an,827,251.8
to learn,822,250.3
output of,821,250.0
according to,817,248.8
to evaluate,811,247.0
which are,808,246.0
the models,807,245.7
training set,805,245.1
described in,804,244.8
that are,804,244.8
applied to,803,244.5
where is,801,243.9
we have,788,239.9
rate of,788,239.9
loss function,775,236.0
speech enhancement,775,236.0
is an,774,235.7
used the,767,233.6
from to,767,233.6
encoder and,764,232.6
as in,764,232.6
data and,761,231.7
automatic speech,759,231.1
during the,750,228.4
the corresponding,750,228.4
and are,749,228.1
the dataset,749,228.1
data augmentation,746,227.2
performance on,744,226.5
one of,743,226.2
results on,741,225.6
to extract,740,225.3
may be,736,224.1
the decoder,734,223.5
the feature,733,223.2
followed by,731,222.6
results are,724,220.5
ground truth,723,220.2
for both,723,220.2
in speech,721,219.5
denotes the,718,218.6
github com,716,218.0
are not,714,217.4
our experiments,713,217.1
the average,713,217.1
be used,712,216.8
speech data,703,214.1
performance in,703,214.1
as an,702,213.8
in each,701,213.5
however the,695,211.6
for speech,695,211.6
to predict,694,211.3
accuracy of,693,211.0
and for,692,210.7
the mean,691,210.4
the previous,690,210.1
the overall,689,209.8
test sets,687,209.2
instead of,686,208.9
language model,686,208.9
is also,685,208.6
speaker embedding,681,207.4
section we,681,207.4
proposed model,680,207.1
training the,680,207.1
with different,679,206.8
in both,679,206.8
table the,679,206.8
in which,678,206.5
the use,678,206.5
as input,676,205.8
https github,676,205.8
of training,669,203.7
of all,667,203.1
model we,666,202.8
only the,665,202.5
focus on,663,201.9
the last,661,201.3
for this,655,199.4
of data,654,199.1
the current,653,198.8
acoustic features,653,198.8
we first,648,197.3
target speaker,648,197.3
quality of,645,196.4
extracted from,639,194.6
types of,638,194.3
length of,635,193.4
able to,635,193.4
the time,633,192.7
to address,632,192.4
the source,631,192.1
is that,628,191.2
since the,627,190.9
resulting in,625,190.3
to achieve,624,190.0
model in,621,189.1
asr models,619,188.5
and we,617,187.9
compared with,616,187.6
table shows,615,187.3
it can,613,186.7
and test,612,186.4
distribution of,611,186.1
which can,609,185.4
batch size,609,185.4
the loss,606,184.5
of an,606,184.5
that can,604,183.9
neural networks,601,183.0
will be,599,182.4
range of,599,182.4
train the,599,182.4
by using,598,182.1
is more,596,181.5
if the,596,181.5
they are,590,179.7
part of,589,179.4
was used,589,179.4
the network,588,179.0
this section,587,178.7
emotion recognition,585,178.1
could be,585,178.1
are shown,582,177.2
features and,580,176.6
is set,578,176.0
data from,578,176.0
did not,577,175.7
and speech,577,175.7
models with,576,175.4
to and,575,175.1
the system,574,174.8
represents the,572,174.2
in an,569,173.3
the text,569,173.3
data in,568,173.0
our approach,558,169.9
and respectively,558,169.9
the evaluation,555,169.0
the total,550,167.5
audio and,549,167.2
data for,549,167.2
and in,548,166.9
to use,547,166.6
that of,545,166.0
of audio,544,165.6
the main,544,165.6
model on,544,165.6
shows that,544,165.6
the effect,543,165.3
models for,542,165.0
the pre-trained,541,164.7
data is,539,164.1
found that,539,164.1
recognition asr,538,163.8
results for,534,162.6
of speakers,533,162.3
models and,532,162.0
presented in,532,162.0
defined as,529,161.1
impact of,527,160.5
in contrast,527,160.5
we observe,526,160.2
each of,525,159.9
speech in,524,159.6
the task,522,158.9
figure shows,522,158.9
results show,519,158.0
the quality,518,157.7
we show,518,157.7
reduce the,517,157.4
we introduce,516,157.1
the teacher,515,156.8
models in,512,155.9
respectively the,510,155.3
are trained,510,155.3
to perform,508,154.7
experiments on,505,153.8
we train,503,153.2
speech signal,503,153.2
better than,501,152.6
asr and,501,152.6
through the,499,151.9
future work,499,151.9
we present,499,151.9
we compare,498,151.6
up to,497,151.3
asr systems,496,151.0
the three,495,150.7
obtain the,490,149.2
table we,490,149.2
the context,490,149.2
the experiments,489,148.9
model trained,488,148.6
within the,488,148.6
of two,487,148.3
the accuracy,485,147.7
set the,484,147.4
that we,484,147.4
we evaluate,481,146.5
data to,480,146.2
should be,478,145.6
the case,477,145.2
to reduce,476,144.9
is shown,475,144.6
generated by,475,144.6
to produce,475,144.6
models on,474,144.3
corresponding to,474,144.3
data the,472,143.7
study we,471,143.4
word error,471,143.4
after the,471,143.4
the attention,470,143.1
more than,469,142.8
duration of,468,142.5
the entire,467,142.2
aims to,466,141.9
supported by,466,141.9
the transformer,466,141.9
features are,466,141.9
the word,466,141.9
speaker verification,466,141.9
leads to,465,141.6
the development,465,141.6
and speaker,464,141.3
sequence of,464,141.3
to this,463,141.0
models to,463,141.0
is applied,463,141.0
set and,463,141.0
model was,461,140.4
information from,461,140.4
demonstrate that,458,139.5
experiments we,458,139.5
ablation study,455,138.5
comparison of,455,138.5
clean speech,455,138.5
the student,454,138.2
analysis of,454,138.2
this approach,454,138.2
the reference,452,137.6
ability to,452,137.6
obtained by,452,137.6
outperforms the,450,137.0
method is,449,136.7
to make,447,136.1
the standard,446,135.8
features of,445,135.5
combination of,445,135.5
and an,444,135.2
and text,444,135.2
to capture,443,134.9
acoustic model,442,134.6
deep learning,440,134.0
the impact,439,133.7
dataset and,439,133.7
voice conversion,439,133.7
model which,438,133.4
is then,438,133.4
related to,437,133.1
then the,437,133.1
model that,436,132.8
total of,436,132.8
speaker embeddings,436,132.8
information in,435,132.5
of parameters,435,132.5
feature extraction,434,132.2
in all,434,132.2
speech synthesis,434,132.2
difference between,434,132.2
the highest,434,132.2
the learning,433,131.8
input and,433,131.8
and its,433,131.8
that it,433,131.8
models we,431,131.2
because the,430,130.9
for our,430,130.9
we found,429,130.6
to ensure,429,130.6
the language,429,130.6
lead to,428,130.3
the predicted,427,130.0
showed that,425,129.4
finally we,424,129.1
between and,424,129.1
speech quality,423,128.8
case of,423,128.8
observe that,422,128.5
data we,422,128.5
inspired by,421,128.2
along with,421,128.2
method for,420,127.9
is defined,419,127.6
show the,419,127.6
other hand,417,127.0
features from,416,126.7
and their,415,126.4
rather than,415,126.4
experimental setup,412,125.5
compare the,411,125.2
model can,411,125.2
in particular,411,125.2
investigate the,411,125.2
standard deviation,410,124.8
addition to,409,124.5
but also,407,123.9
to further,407,123.9
we set,406,123.6
consisting of,404,123.0
asr system,404,123.0
of speaker,404,123.0
then we,403,122.7
the difference,403,122.7
the experimental,403,122.7
obtained from,402,122.4
better performance,402,122.4
to investigate,402,122.4
we will,401,122.1
not only,400,121.8
were used,400,121.8
given the,399,121.5
speakers and,399,121.5
speaker and,398,121.2
to estimate,395,120.3
self-supervised learning,395,120.3
model training,395,120.3
we apply,395,120.3
