file	keywords	title
ICASSP/2001/pap1581.txt	spoken dialog	FROM BROADCAST NEWS TO SPONTANEOUS DIALOGUE TRANSCRIPTION:
ICASSP/2001/pap1598.txt	spoken dialog	Over-complete Blind source separation by applying sparse decomposition and information the
ICASSP/2001/pap1998.txt	spoken dialog	DATA AUGMENTATION AND LANGUAGE MODEL ADAPTATION
ICASSP/2001/pap2004.txt	spoken dialog	USING SEMANTIC CLASS INFORMATION FOR RAPID DEVELOPMENT OF
ICASSP/2001/pap2289.txt	spoken dialog	ON-LINE LEARNING OF LANGUAGE MODELS WITH
ICASSP/2001/pap2311.txt	spoken dialog	MULTIPLE-REGRESSION HIDDEN MARKOV MODEL
ICASSP/2001/pap2385.txt	spoken dialog	TOWARDS TASK-INDEPENDENT SPEECH RECOGNITION
ICASSP/2001/pap284.txt	spoken dialog	TOPIC FOREST: A PLAN-BASED DIALOG MANAGEMENT STRUCTURE
ICASSP/2001/pap662.txt	spoken dialog	A Dynamic Semantic Model for Re-scoring Recognition Hypotheses
ICASSP/2001/pap686.txt	spoken dialog	CONFIDENCE MEASURES FOR SPOKEN DIALOGUE SYSTEMS
ICASSP/2002/1503.txt	spoken dialog	ASR SYSTEM MODELING FOR AUTOMATIC EVALUATION AND
ICASSP/2002/1971.txt	spoken dialog	PROBABILISTIC INTEGRATION OF MULTIPLE CONFIDENCE MEASURES AND
ICASSP/2002/2033.txt	backchannel	IMPLEMENTATION OF AUTOMATIC CAPITALISATION
ICASSP/2002/2148.txt	spoken dialog	COMBINING PRIOR KNOWLEDGE AND BOOSTING FOR CALL CLASSIFICATION IN
ICASSP/2002/2337.txt	spoken dialog	ACTIVE LEARNING FOR AUTOMATIC SPEECH RECOGNITION
ICASSP/2002/2919.txt	spoken dialog	AUDIO-VISUAL SPEECH TRANSLATION WITH AUTOMATIC LIP SYNCHRONIZATION
ICASSP/2002/3010.txt	spoken dialog	TURN{BASED LANGUAGE MODELING FOR SPOKEN DIALOG SYSTEMS
ICASSP/2002/3015.txt	spoken dialog	ESTIMATING SEMANTIC CONFIDENCE FOR SPOKEN DIALOGUE
ICASSP/2002/3067.txt	spoken dialog	ADAPTIVE LANGUAGE MODELS FOR SPOKEN DIALOGUE SYSTEMS
ICASSP/2002/3090.txt	backchannel	TEXT NORMALIZATION WITH VARIED DATA SOURCES
ICASSP/2002/3120.txt	spoken dialog	AUTOMATIC ESTIMATION OF ONE’S AGE WITH HIS/HER SPEECH
ICASSP/2002/3314.txt	spoken dialog	PHONE BASED VOICE ACTIVITY DETECTION USING ONLINE BAYESIAN
ICASSP/2003/01-00016.txt	spoken dialog	➠
ICASSP/2003/01-00264.txt	spoken dialog	➠
ICASSP/2003/01-00276.txt	spoken dialog	➠
ICASSP/2003/01-00328.txt	spoken dialog	➠
ICASSP/2003/01-00468.txt	spoken dialog	➠
ICASSP/2003/01-00624.txt	spoken dialog	➠
ICASSP/2003/01-00736.txt	spoken dialog	➠
ICASSP/2003/04-00740.txt	backchannel	➠
ICASSP/2003/04-00744.txt	spoken dialog	➠
ICASSP/2003/04-00792.txt	turn-taking	➠
ICASSP/2004/0100381.txt	spoken dialog	➠
ICASSP/2004/0100425.txt	spoken dialog	➠
ICASSP/2004/0100433.txt	spoken dialog	➠
ICASSP/2004/0100441.txt	spoken dialog	➠
ICASSP/2004/0100453.txt	spoken dialog	➠
ICASSP/2004/0100605.txt	turn-taking	➠
ICASSP/2004/0100757.txt	spoken dialog	➠
ICASSP/2004/0100781.txt	spoken dialog	➠
ICASSP/2004/0100793.txt	spoken dialog	➠
ICASSP/2004/0500293.txt	spoken dialog	➠
ICASSP/2005/0100025.txt	spoken dialog	➠
ICASSP/2005/0100037.txt	spoken dialog	➠
ICASSP/2005/0100041.txt	spoken dialog	➠
ICASSP/2005/0100085.txt	spoken dialog	➠
ICASSP/2005/0100093.txt	spoken dialog	➠
ICASSP/2005/0100265.txt	spoken dialog	➠
ICASSP/2005/0100357.txt	spoken dialog	➠
ICASSP/2005/0100489.txt	turn-taking	➠
ICASSP/2005/0100565.txt	spoken dialog	➠
ICASSP/2005/0100573.txt	spoken dialog	➠
ICASSP/2005/0100593.txt	spoken dialog	➠
ICASSP/2005/0100605.txt	spoken dialog	➠
ICASSP/2005/0101033.txt	spoken dialog	➠
ICASSP/2005/0101041.txt	spoken dialog	➠
ICASSP/2005/0101045.txt	spoken dialog	➠
ICASSP/2005/0101061.txt	backchannel	➠
ICASSP/2005/0500957.txt	backchannel	➠
ICASSP/2005/0501017.txt	spoken dialog	➠
ICASSP/2006/0100049.txt	turn-taking,spoken dialog	DYNAMIC BAYESIAN NETWORKS FOR NLU SIMULATION WITH APPLICATIONS TO
ICASSP/2006/0100053.txt	spoken dialog	TOWARDS LEARNING TO CONVERSE: STRUCTURING TASK-ORIENTED
ICASSP/2006/0100057.txt	spoken dialog	DIALOG DESIGN FOR USER ADAPTATION
ICASSP/2006/0100065.txt	spoken dialog	OPEN MICROPHONE SPEECH UNDERSTANDING:
ICASSP/2006/0100069.txt	spoken dialog	A SITUATION-BASED DIALOGUE MANAGEMENT USING DIALOGUE EXAMPLES
ICASSP/2006/0100185.txt	spoken dialog	POCKETSPHINX: A FREE, REAL-TIME CONTINUOUS SPEECH RECOGNITION SYSTEM
ICASSP/2006/0100357.txt	backchannel	SPEAKER OVERLAPS AND ASR ERRORS IN MEETINGS:
